CP, 01, 2016010506,   , BEST,   0,  20N, 1735W,  25, 1006, DB,   0,    ,    0,    0,    0,    0, 1008,  180,  60,   0,   0,    ,   0,    ,   0,   0,     INVEST,  , 
CP, 01, 2016010512,   , BEST,   0,  21N, 1732W,  25, 1006, DB,   0,    ,    0,    0,    0,    0, 1008,  180,  60,   0,   0,    ,   0,    ,   0,   0,     INVEST,  , 
CP, 01, 2016010518,   , BEST,   0,  23N, 1729W,  25, 1005, DB,   0,    ,    0,    0,    0,    0, 1008,  300,  90,   0,   0,    ,   0,    ,   0,   0,     INVEST,  , 
CP, 01, 2016010600,   , BEST,   0,  27N, 1727W,  25, 1004, LO,   0,    ,    0,    0,    0,    0, 1008,  300,  90,   0,   0,   C,   0,    ,   0,   0,     INVEST, S, 
CP, 01, 2016010606,   , BEST,   0,  29N, 1725W,  25, 1003, LO,   0,    ,    0,    0,    0,    0, 1008,  300,  90,  35,   0,   C,   0,    ,   0,   0,     INVEST, M, 
CP, 01, 2016010612,   , BEST,   0,  29N, 1720W,  25, 1004, LO,   0,    ,    0,    0,    0,    0, 1008,  240,  90,  35,   0,   C,   0,    ,   0,   0,     INVEST, M, 
CP, 01, 2016010618,   , BEST,   0,  30N, 1716W,  25, 1004, LO,   0,    ,    0,    0,    0,    0, 1008,  240,  90,   0,   0,   C,   0,    ,   0,   0,     INVEST, M, 
CP, 01, 2016010700,   , BEST,   0,  32N, 1714W,  25, 1005, LO,   0,    ,    0,    0,    0,    0, 1008,  240,  90,   0,   0,   C,   0,    ,   0,   0,     INVEST, M, 
CP, 01, 2016010706,   , BEST,   0,  34N, 1713W,  30, 1004, LO,   0,    ,    0,    0,    0,    0, 1008,  230,  90,   0,   0,   C,   0,    ,   0,   0,     INVEST, M, 
CP, 01, 2016010712,   , BEST,   0,  37N, 1713W,  30, 1004, TD,   0,    ,    0,    0,    0,    0, 1009,  270,  90,  40,   0,   C,   0,    ,   0,   0,        ONE, D,  0,    ,    0,    0,    0,    0, TRANSITIONED, cpA02016 to cp012016, 
CP, 01, 2016010718,   , BEST,   0,  44N, 1711W,  45, 1000, TS,  34, NEQ,   90,   60,   90,   80, 1008,  250,  75,  55,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  150,  120,  120,  150, 
CP, 01, 2016010800,   , BEST,   0,  50N, 1711W,  45,  997, TS,  34, NEQ,   90,   60,   90,   80, 1008,  300,  75,  55,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  360,  360,  360,  360, 
CP, 01, 2016010806,   , BEST,   0,  59N, 1714W,  45,  997, TS,  34, NEQ,   90,  120,   90,  100, 1008,  300,  75,  55,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  360,  360,  360,  360, 
CP, 01, 2016010812,   , BEST,   0,  68N, 1720W,  55,  994, TS,  34, NEQ,   90,  120,   80,   80, 1010,  275,  30,  65,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  275,  450,  360,  250, 
CP, 01, 2016010812,   , BEST,   0,  68N, 1720W,  55,  994, TS,  50, NEQ,   40,   40,    0,    0, 1010,  275,  30,  65,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  275,  450,  360,  250, 
CP, 01, 2016010818,   , BEST,   0,  72N, 1724W,  55,  994, TS,  34, NEQ,   90,  120,   80,   80, 1010,  275,  30,  65,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  275,  450,  250,  250, 
CP, 01, 2016010818,   , BEST,   0,  72N, 1724W,  55,  994, TS,  50, NEQ,   40,   40,    0,    0, 1010,  275,  30,  65,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  275,  450,  250,  250, 
CP, 01, 2016010900,   , BEST,   0,  76N, 1728W,  55,  996, TS,  34, NEQ,   90,  120,  140,   90, 1010,  275,  30,  65,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  275,  450,  250,  250, 
CP, 01, 2016010900,   , BEST,   0,  76N, 1728W,  55,  996, TS,  50, NEQ,   30,   60,   60,   30, 1010,  275,  30,  65,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  275,  450,  250,  250, 
CP, 01, 2016010906,   , BEST,   0,  77N, 1732W,  50,  997, TS,  34, NEQ,  100,  130,  120,   80, 1009,  250,  30,  60,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  275,  450,  250,  250, 
CP, 01, 2016010906,   , BEST,   0,  77N, 1732W,  50,  997, TS,  50, NEQ,   10,   60,   60,    0, 1009,  250,  30,  60,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  275,  450,  250,  250, 
