CP, 01, 2018092618,   , BEST,   0, 119N, 1416W,  25, 1008, DB,   0,    ,    0,    0,    0,    0, 1009,  180,  50,   0,   0,    ,   0,    ,   0,   0,     INVEST,  , 
CP, 01, 2018092700,   , BEST,   0, 121N, 1426W,  25, 1008, DB,   0,    ,    0,    0,    0,    0, 1009,  180,  50,   0,   0,    ,   0,    ,   0,   0,     INVEST,  , 
CP, 01, 2018092706,   , BEST,   0, 122N, 1440W,  25, 1008, DB,   0,    ,    0,    0,    0,    0, 1009,  180,  50,   0,   0,    ,   0,    ,   0,   0,     INVEST,  , 
CP, 01, 2018092712,   , BEST,   0, 123N, 1457W,  25, 1008, LO,   0,    ,    0,    0,    0,    0, 1009,  180,  50,   0,   0,   C,   0,    ,   0,   0,     INVEST, M, 
CP, 01, 2018092718,   , BEST,   0, 124N, 1472W,  25, 1008, LO,   0,    ,    0,    0,    0,    0, 1010,  125,  50,   0,   0,   C,   0,    ,   0,   0,     INVEST, M, 
CP, 01, 2018092800,   , BEST,   0, 117N, 1486W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1009,  125,  50,   0,   0,   C,   0,    ,   0,   0,     INVEST, M, 
CP, 01, 2018092806,   , BEST,   0, 117N, 1500W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1009,  125,  50,   0,   0,   C,   0,    ,   0,   0,     INVEST, M, 
CP, 01, 2018092812,   , BEST,   0, 118N, 1515W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1009,  125,  50,   0,   0,   C,   0,    ,   0,   0,     INVEST, M, 
CP, 01, 2018092818,   , BEST,   0, 118N, 1530W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1009,  115,  50,   0,   0,   C,   0,    ,   0,   0,     INVEST, M, 
CP, 01, 2018092900,   , BEST,   0, 118N, 1544W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1009,  115,  50,   0,   0,   C,   0,    ,   0,   0,     INVEST, M, 
CP, 01, 2018092906,   , BEST,   0, 118N, 1559W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1009,  115,  40,   0,   0,   C,   0,    ,   0,   0,     INVEST, M, 
CP, 01, 2018092912,   , BEST,   0, 117N, 1573W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1009,  125,  35,   0,   0,   C,   0,    ,   0,   0,     INVEST, M,  0,    ,    0,    0,    0,    0, TRANSITIONED, cpA72018 to cp012018, 
CP, 01, 2018092918,   , BEST,   0, 116N, 1586W,  35, 1005, TS,  34, NEQ,   40,   20,    0,   25, 1011,  150,  35,  45,   0,   C,   0,    ,   0,   0,     WALAKA, D,  0,    ,    0,    0,    0,    0, DISSIPATED, cp012018 to cp972018, TRANSITIONED, cpB72018 to cp012018, 
CP, 01, 2018093000,   , BEST,   0, 116N, 1600W,  35, 1005, TS,  34, NEQ,   45,   20,    0,   40, 1010,  175,  35,  45,   0,   C,   0,    ,   0,   0,     WALAKA, D, 12, NEQ,   90,   50,   75,    0, 
CP, 01, 2018093006,   , BEST,   0, 116N, 1615W,  35, 1003, TS,  34, NEQ,   45,   20,    0,   45, 1010,  175,  35,  45,   0,   C,   0,    ,   0,   0,     WALAKA, D, 12, NEQ,  100,   60,   30,   80, 
CP, 01, 2018093012,   , BEST,   0, 117N, 1630W,  45, 1000, TS,  34, NEQ,   60,   40,   15,   60, 1010,  200,  35,  55,   0,   C,   0,    ,   0,   0,     WALAKA, D, 
CP, 01, 2018093018,   , BEST,   0, 117N, 1645W,  55,  995, TS,  34, NEQ,   60,   40,   20,   60, 1010,  200,  20,  65,   0,   C,   0,    ,   0,   0,     WALAKA, D, 12, NEQ,  210,  120,   50,  170, 
CP, 01, 2018093018,   , BEST,   0, 117N, 1645W,  55,  995, TS,  50, NEQ,   20,   20,   15,   20, 1010,  200,  20,  65,   0,   C,   0,    ,   0,   0,     WALAKA, D, 12, NEQ,  210,  120,   50,  170, 
CP, 01, 2018100100,   , BEST,   0, 118N, 1659W,  70,  985, HU,  34, NEQ,   80,   60,   50,   80, 1010,  200,  20,  80,   0,   C,   0,    ,   0,   0,     WALAKA, D, 12, NEQ,  210,  120,   50,  170, 
CP, 01, 2018100100,   , BEST,   0, 118N, 1659W,  70,  985, HU,  50, NEQ,   40,   40,   35,   40, 1010,  200,  20,  80,   0,   C,   0,    ,   0,   0,     WALAKA, D, 12, NEQ,  210,  120,   50,  170, 
CP, 01, 2018100100,   , BEST,   0, 118N, 1659W,  70,  985, HU,  64, NEQ,   20,   20,   20,   20, 1010,  200,  20,  80,   0,   C,   0,    ,   0,   0,     WALAKA, D, 12, NEQ,  210,  120,   50,  170, 
CP, 01, 2018100106,   , BEST,   0, 118N, 1670W,  90,  970, HU,  34, NEQ,  110,   70,   50,  110, 1010,  250,  20, 110,   0,   C,   0,    ,   0,   0,     WALAKA, D, 12, NEQ,  210,  120,   50,  170, 
CP, 01, 2018100106,   , BEST,   0, 118N, 1670W,  90,  970, HU,  50, NEQ,   50,   35,   35,   50, 1010,  250,  20, 110,   0,   C,   0,    ,   0,   0,     WALAKA, D, 12, NEQ,  210,  120,   50,  170, 
CP, 01, 2018100106,   , BEST,   0, 118N, 1670W,  90,  970, HU,  64, NEQ,   25,   20,   20,   25, 1010,  250,  20, 110,   0,   C,   0,    ,   0,   0,     WALAKA, D, 12, NEQ,  210,  120,   50,  170, 
CP, 01, 2018100112,   , BEST,   0, 121N, 1679W, 105,  958, HU,  34, NEQ,  120,   80,   65,  120, 1010,  275,  20, 130,   0,   C,   0,    ,   0,   0,     WALAKA, D, 12, NEQ,  225,  120,  120,  220, 
CP, 01, 2018100112,   , BEST,   0, 121N, 1679W, 105,  958, HU,  50, NEQ,   55,   40,   40,   55, 1010,  275,  20, 130,   0,   C,   0,    ,   0,   0,     WALAKA, D, 12, NEQ,  225,  120,  120,  220, 
