EP, 01, 2014052018,   , BEST,   0,  94N, 1043W,  20, 1008, LO,   0,    ,    0,    0,    0,    0, 1010,  180, 120,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 01, 2014052100,   , BEST,   0,  94N, 1043W,  20, 1007, LO,   0,    ,    0,    0,    0,    0, 1010,  180, 120,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 01, 2014052106,   , BEST,   0,  94N, 1049W,  20, 1007, LO,   0,    ,    0,    0,    0,    0, 1010,  180, 110,   0,   0, 
EP, 01, 2014052112,   , BEST,   0,  95N, 1054W,  20, 1008, LO,   0,    ,    0,    0,    0,    0, 1009,  150, 100,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 01, 2014052118,   , BEST,   0,  97N, 1059W,  20, 1008, LO,   0,    ,    0,    0,    0,    0, 1009,  150,  90,   0,   0, 
EP, 01, 2014052200,   , BEST,   0,  99N, 1063W,  20, 1007, LO,   0,    ,    0,    0,    0,    0, 1009,  150,  80,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 01, 2014052206,   , BEST,   0, 101N, 1066W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1009,  150,  70,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 01, 2014052212,   , BEST,   0, 102N, 1069W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1009,  180,  60,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 01, 2014052218,   , BEST,   0, 103N, 1072W,  25, 1007, TD,   0,    ,    0,    0,    0,    0, 1011,  150,  50,  35,   0,   E,   0,    ,   0,   0,        ONE, M,  0,    ,    0,    0,    0,    0,         TRANSITIONED, epA22014 to ep012014
EP, 01, 2014052300,   , BEST,   0, 105N, 1076W,  25, 1007, TD,   0,    ,    0,    0,    0,    0, 1010,  150,  45,  35,   0,   E,   0,    ,   0,   0,        ONE, M, 
EP, 01, 2014052306,   , BEST,   0, 107N, 1080W,  25, 1007, TD,   0,    ,    0,    0,    0,    0, 1010,  150,  40,  35,   0,   E,   0,    ,   0,   0,        ONE, M, 
EP, 01, 2014052312,   , BEST,   0, 108N, 1083W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  150,  35,  40,   0,   E,   0,    ,   0,   0,        ONE, M, 
EP, 01, 2014052318,   , BEST,   0, 109N, 1086W,  35, 1005, TS,  34, NEQ,   30,    0,    0,   30, 1010,  180,  30,  45,   0,   E,   0,    ,   0,   0,     AMANDA, M, 
EP, 01, 2014052400,   , BEST,   0, 110N, 1090W,  45, 1002, TS,  34, NEQ,   40,    0,    0,   40, 1010,  180,  25,  55,   0,   E,   0,    ,   0,   0,     AMANDA, M, 12, NEQ,   90,   90,   60,   60, 
EP, 01, 2014052406,   , BEST,   0, 111N, 1094W,  55,  996, TS,  34, NEQ,   50,   20,   20,   50, 1010,  180,  20,  60,   0,   E,   0,    ,   0,   0,     AMANDA, D, 12, NEQ,   90,   90,   60,   60, 
EP, 01, 2014052406,   , BEST,   0, 111N, 1094W,  55,  996, TS,  50, NEQ,   20,    0,    0,   20, 1010,  180,  20,  60,   0,   E,   0,    ,   0,   0,     AMANDA, D, 12, NEQ,   90,   90,   60,   60, 
EP, 01, 2014052412,   , BEST,   0, 112N, 1098W,  65,  989, HU,  34, NEQ,   60,   50,   50,   60, 1009,  240,  15,  80,   0,   E,   0,    ,   0,   0,     AMANDA, D, 12, NEQ,   90,   90,   60,   60, 
EP, 01, 2014052412,   , BEST,   0, 112N, 1098W,  65,  989, HU,  50, NEQ,   30,   30,   20,   30, 1009,  240,  15,  80,   0,   E,   0,    ,   0,   0,     AMANDA, D, 12, NEQ,   90,   90,   60,   60, 
EP, 01, 2014052412,   , BEST,   0, 112N, 1098W,  65,  989, HU,  64, NEQ,   20,    0,    0,   20, 1009,  240,  15,  80,   0,   E,   0,    ,   0,   0,     AMANDA, D, 12, NEQ,   90,   90,   60,   60, 
EP, 01, 2014052418,   , BEST,   0, 113N, 1101W,  70,  987, HU,  34, NEQ,   60,   50,   40,   60, 1010,  240,  15,  85,   0,   E,   0,    ,   0,   0,     AMANDA, D, 12, NEQ,   90,   45,   60,   90, 
EP, 01, 2014052418,   , BEST,   0, 113N, 1101W,  70,  987, HU,  50, NEQ,   30,   30,   20,   30, 1010,  240,  15,  85,   0,   E,   0,    ,   0,   0,     AMANDA, D, 12, NEQ,   90,   45,   60,   90, 
EP, 01, 2014052418,   , BEST,   0, 113N, 1101W,  70,  987, HU,  64, NEQ,   20,   10,   10,   20, 1010,  240,  15,  85,   0,   E,   0,    ,   0,   0,     AMANDA, D, 12, NEQ,   90,   45,   60,   90, 
EP, 01, 2014052500,   , BEST,   0, 115N, 1105W,  85,  978, HU,  34, NEQ,   70,   60,   40,   60, 1010,  240,  15, 105,  10,   E,   0,    ,   0,   0,     AMANDA, D, 12, NEQ,  150,  120,  150,  150, 
EP, 01, 2014052500,   , BEST,   0, 115N, 1105W,  85,  978, HU,  50, NEQ,   40,   30,   30,   30, 1010,  240,  15, 105,  10,   E,   0,    ,   0,   0,     AMANDA, D, 12, NEQ,  150,  120,  150,  150, 
EP, 01, 2014052500,   , BEST,   0, 115N, 1105W,  85,  978, HU,  64, NEQ,   20,   15,   15,   15, 1010,  240,  15, 105,  10,   E,   0,    ,   0,   0,     AMANDA, D, 12, NEQ,  150,  120,  150,  150, 
EP, 01, 2014052506,   , BEST,   0, 116N, 1108W, 120,  946, HU,  34, NEQ,   70,   60,   40,   60, 1008,  200,  15, 145,   0,   E,   0,    ,   0,   0,     AMANDA, D, 12, NEQ,  150,  120,  150,  150, 
EP, 01, 2014052506,   , BEST,   0, 116N, 1108W, 120,  946, HU,  50, NEQ,   40,   40,   30,   30, 1008,  200,  15, 145,   0,   E,   0,    ,   0,   0,     AMANDA, D, 12, NEQ,  150,  120,  150,  150, 
EP, 01, 2014052506,   , BEST,   0, 116N, 1108W, 120,  946, HU,  64, NEQ,   20,   15,   15,   15, 1008,  200,  15, 145,   0,   E,   0,    ,   0,   0,     AMANDA, D, 12, NEQ,  150,  120,  150,  150, 
