EP, 06, 2012070906,   , BEST,   0,  95N,  968W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 06, 2012070912,   , BEST,   0,  98N,  975W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 06, 2012070918,   , BEST,   0, 100N,  982W,  20, 1008, DB,   0,    ,    0,    0,    0,    0, 
EP, 06, 2012071000,   , BEST,   0, 103N,  988W,  20, 1008, DB,   0,    ,    0,    0,    0,    0, 
EP, 06, 2012071006,   , BEST,   0, 106N,  994W,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1010,  200,  80,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 06, 2012071012,   , BEST,   0, 110N, 1001W,  20, 1007, LO,   0,    ,    0,    0,    0,    0, 1010,  200,  75,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 06, 2012071018,   , BEST,   0, 114N, 1009W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1009,  200,  65,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 06, 2012071100,   , BEST,   0, 118N, 1018W,  25, 1006, LO,   0,    ,    0,    0,    0,    0, 1008,  200,  55,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 06, 2012071106,   , BEST,   0, 121N, 1024W,  25, 1006, LO,   0,    ,    0,    0,    0,    0, 1008,  200,  50,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 06, 2012071112,   , BEST,   0, 126N, 1033W,  25, 1005, LO,   0,    ,    0,    0,    0,    0, 1008,  200,  50,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 06, 2012071118,   , BEST,   0, 130N, 1041W,  25, 1004, LO,   0,    ,    0,    0,    0,    0, 1009,  180,  50,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 06, 2012071200,   , BEST,   0, 132N, 1050W,  30, 1003, TD,   0,    ,    0,    0,    0,    0, 1007,  180,  45,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 06, 2012071206,   , BEST,   0, 134N, 1059W,  35, 1002, TS,  34, NEQ,    0,   30,   30,   20, 1007,  180,  40,  40,   0,   E,   0,    ,   0,   0,        SIX, M, 
EP, 06, 2012071212,   , BEST,   0, 135N, 1069W,  40, 1001, TS,  34, NEQ,   30,   30,   30,   20, 1007,  180,  30,  45,   0,   E,   0,    ,   0,   0,      FABIO, M, 
EP, 06, 2012071218,   , BEST,   0, 136N, 1077W,  45, 1000, TS,  34, NEQ,   50,   30,   20,   30, 1009,  200,  50,  55,   0,   E,   0,    ,   0,   0,      FABIO, M, 12, NEQ,   75,    0,    0,    0
EP, 06, 2012071300,   , BEST,   0, 138N, 1086W,  50,  998, TS,  34, NEQ,   70,   50,   30,   40, 1009,  200,  20,  60,   0,   E,   0,    ,   0,   0,      FABIO, M, 12, NEQ,  120,  100,    0,    0
EP, 06, 2012071300,   , BEST,   0, 138N, 1086W,  50,  998, TS,  50, NEQ,   20,    0,    0,   20, 1009,  200,  20,  60,   0,   E,   0,    ,   0,   0,      FABIO, M, 12, NEQ,  120,  100,    0,    0
EP, 06, 2012071306,   , BEST,   0, 142N, 1094W,  55,  995, TS,  34, NEQ,   80,  100,  100,   40, 1010,  190,  35,  65,   0,   E,   0,    ,   0,   0,      FABIO, M, 12, NEQ,  180,   90,    0,   90
EP, 06, 2012071306,   , BEST,   0, 142N, 1094W,  55,  995, TS,  50, NEQ,   40,   60,   50,    0, 1010,  190,  35,  65,   0,   E,   0,    ,   0,   0,      FABIO, M, 12, NEQ,  180,   90,    0,   90
EP, 06, 2012071312,   , BEST,   0, 148N, 1102W,  60,  992, TS,  34, NEQ,   80,  100,  100,   40, 1008,  200,  40,  65,   0,   E,   0,    ,   0,   0,      FABIO, D, 12, NEQ,  150,  120,  120,   90
EP, 06, 2012071312,   , BEST,   0, 148N, 1102W,  60,  992, TS,  50, NEQ,   40,   60,   50,    0, 1008,  200,  40,  65,   0,   E,   0,    ,   0,   0,      FABIO, D, 12, NEQ,  150,  120,  120,   90
EP, 06, 2012071318,   , BEST,   0, 153N, 1110W,  70,  986, HU,  34, NEQ,   80,   90,   80,   60, 1010,  200,  20,  85,   0,   E,   0,    ,   0,   0,      FABIO, D, 12, NEQ,  150,  120,  120,  120
EP, 06, 2012071318,   , BEST,   0, 153N, 1110W,  70,  986, HU,  50, NEQ,   40,   40,   40,   40, 1010,  200,  20,  85,   0,   E,   0,    ,   0,   0,      FABIO, D, 12, NEQ,  150,  120,  120,  120
EP, 06, 2012071318,   , BEST,   0, 153N, 1110W,  70,  986, HU,  64, NEQ,   20,    0,    0,    0, 1010,  200,  20,  85,   0,   E,   0,    ,   0,   0,      FABIO, D, 12, NEQ,  150,  120,  120,  120
EP, 06, 2012071400,   , BEST,   0, 156N, 1119W,  75,  982, HU,  34, NEQ,   90,  100,   80,   60, 1010,  200,  20,  90,   0,   E,   0,    ,   0,   0,      FABIO, D, 12, NEQ,  220,  150,  150,  180
EP, 06, 2012071400,   , BEST,   0, 156N, 1119W,  75,  982, HU,  50, NEQ,   40,   50,   40,   40, 1010,  200,  20,  90,   0,   E,   0,    ,   0,   0,      FABIO, D, 12, NEQ,  220,  150,  150,  180
