EP, 07, 2012080500,   , BEST,   0, 110N, 1024W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 07, 2012080506,   , BEST,   0, 113N, 1031W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 07, 2012080512,   , BEST,   0, 116N, 1038W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 07, 2012080518,   , BEST,   0, 120N, 1047W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1011,  150,  60,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 07, 2012080600,   , BEST,   0, 124N, 1059W,  25, 1008, LO,   0,    ,    0,    0,    0,    0, 1011,  150,  60,  35,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 07, 2012080606,   , BEST,   0, 127N, 1070W,  25, 1008, LO,   0,    ,    0,    0,    0,    0, 1011,  150,  60,  35,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 07, 2012080612,   , BEST,   0, 129N, 1079W,  25, 1008, LO,   0,    ,    0,    0,    0,    0, 1011,  150,  50,   0,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 07, 2012080618,   , BEST,   0, 132N, 1091W,  25, 1008, LO,   0,    ,    0,    0,    0,    0, 1011,  150,  40,   0,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 07, 2012080700,   , BEST,   0, 136N, 1103W,  25, 1008, LO,   0,    ,    0,    0,    0,    0, 1011,  150,  40,  35,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 07, 2012080706,   , BEST,   0, 141N, 1113W,  30, 1007, TD,   0,    ,    0,    0,    0,    0, 1011,  160,  30,  40,   0,   E,   0,    ,   0,   0,      SEVEN, M, 
EP, 07, 2012080712,   , BEST,   0, 146N, 1122W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1011,  150,  25,  40,   0,   E,   0,    ,   0,   0,      SEVEN, M, 
EP, 07, 2012080718,   , BEST,   0, 149N, 1134W,  40, 1001, TS,  34, NEQ,   30,    0,    0,   30, 1010,  150,  25,  50,   0,   E,   0,    ,   0,   0,      GILMA, M, 12, NEQ,   30,    0,    0,    0
EP, 07, 2012080800,   , BEST,   0, 152N, 1145W,  50,  997, TS,  34, NEQ,   60,   30,   20,   50, 1009,  150,  25,  60,   0,   E,   0,    ,   0,   0,      GILMA, M, 12, NEQ,   30,    0,    0,   30
EP, 07, 2012080800,   , BEST,   0, 152N, 1145W,  50,  997, TS,  50, NEQ,   30,    0,    0,    0, 1009,  150,  25,  60,   0,   E,   0,    ,   0,   0,      GILMA, M, 12, NEQ,   30,    0,    0,   30
EP, 07, 2012080806,   , BEST,   0, 155N, 1156W,  60,  990, TS,  34, NEQ,   70,   40,   30,   60, 1009,  150,  25,  75,   0,   E,   0,    ,   0,   0,      GILMA, M, 12, NEQ,   60,   60,   60,   60
EP, 07, 2012080806,   , BEST,   0, 155N, 1156W,  60,  990, TS,  50, NEQ,   30,   20,   10,   20, 1009,  150,  25,  75,   0,   E,   0,    ,   0,   0,      GILMA, M, 12, NEQ,   60,   60,   60,   60
EP, 07, 2012080812,   , BEST,   0, 158N, 1166W,  60,  989, TS,  34, NEQ,   70,   40,   30,   60, 1009,  150,  20,  75,   0,   E,   0,    ,   0,   0,      GILMA, D, 12, NEQ,   90,   60,   60,   90
EP, 07, 2012080812,   , BEST,   0, 158N, 1166W,  60,  989, TS,  50, NEQ,   30,   20,   10,   20, 1009,  150,  20,  75,   0,   E,   0,    ,   0,   0,      GILMA, D, 12, NEQ,   90,   60,   60,   90
EP, 07, 2012080818,   , BEST,   0, 159N, 1173W,  60,  989, TS,  34, NEQ,   70,   50,   30,   60, 1009,  150,  15,  75,   0,   E,   0,    ,   0,   0,      GILMA, D, 12, NEQ,  120,   90,   60,   90
EP, 07, 2012080818,   , BEST,   0, 159N, 1173W,  60,  989, TS,  50, NEQ,   30,   20,   10,   20, 1009,  150,  15,  75,   0,   E,   0,    ,   0,   0,      GILMA, D, 12, NEQ,  120,   90,   60,   90
EP, 07, 2012080900,   , BEST,   0, 161N, 1178W,  65,  987, HU,  34, NEQ,   70,   60,   30,   60, 1009,  150,  15,  80,   0,   E,   0,    ,   0,   0,      GILMA, D, 12, NEQ,  150,  120,   90,  120
EP, 07, 2012080900,   , BEST,   0, 161N, 1178W,  65,  987, HU,  50, NEQ,   40,   30,   10,   30, 1009,  150,  15,  80,   0,   E,   0,    ,   0,   0,      GILMA, D, 12, NEQ,  150,  120,   90,  120
EP, 07, 2012080900,   , BEST,   0, 161N, 1178W,  65,  987, HU,  64, NEQ,   20,    0,    0,    0, 1009,  150,  15,  80,   0,   E,   0,    ,   0,   0,      GILMA, D, 12, NEQ,  150,  120,   90,  120
EP, 07, 2012080906,   , BEST,   0, 163N, 1183W,  70,  984, HU,  34, NEQ,   60,   50,   40,   50, 1009,  150,  20,  85,   0,   E,   0,    ,   0,   0,      GILMA, D, 12, NEQ,  150,  120,   90,  120
EP, 07, 2012080906,   , BEST,   0, 163N, 1183W,  70,  984, HU,  50, NEQ,   40,   30,   20,   30, 1009,  150,  20,  85,   0,   E,   0,    ,   0,   0,      GILMA, D, 12, NEQ,  150,  120,   90,  120
EP, 07, 2012080906,   , BEST,   0, 163N, 1183W,  70,  984, HU,  64, NEQ,   20,    0,    0,    0, 1009,  150,  20,  85,   0,   E,   0,    ,   0,   0,      GILMA, D, 12, NEQ,  150,  120,   90,  120
EP, 07, 2012080912,   , BEST,   0, 167N, 1187W,  65,  989, HU,  34, NEQ,   60,   50,   40,   50, 1009,  180,  20,  80,   0,   E,   0,    ,   0,   0,      GILMA, D, 12, NEQ,  150,  120,   90,  120
EP, 07, 2012080912,   , BEST,   0, 167N, 1187W,  65,  989, HU,  50, NEQ,   40,   30,   20,   30, 1009,  180,  20,  80,   0,   E,   0,    ,   0,   0,      GILMA, D, 12, NEQ,  150,  120,   90,  120
EP, 07, 2012080912,   , BEST,   0, 167N, 1187W,  65,  989, HU,  64, NEQ,   20,    0,    0,    0, 1009,  180,  20,  80,   0,   E,   0,    ,   0,   0,      GILMA, D, 12, NEQ,  150,  120,   90,  120
EP, 07, 2012080918,   , BEST,   0, 170N, 1189W,  60,  992, TS,  34, NEQ,   70,   70,   50,   60, 1010,  160,  25,  75,   0,   E,   0,    ,   0,   0,      GILMA, D, 12, NEQ,  120,  120,   90,  110
EP, 07, 2012080918,   , BEST,   0, 170N, 1189W,  60,  992, TS,  50, NEQ,   40,   40,   30,   30, 1010,  160,  25,  75,   0,   E,   0,    ,   0,   0,      GILMA, D, 12, NEQ,  120,  120,   90,  110
