EP, 12, 2012091300,   , BEST,   0, 161N, 1139W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 12, 2012091306,   , BEST,   0, 160N, 1150W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 12, 2012091312,   , BEST,   0, 155N, 1160W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 12, 2012091318,   , BEST,   0, 150N, 1172W,  30, 1009, DB,   0,    ,    0,    0,    0,    0, 1011,  120,  90,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 12, 2012091400,   , BEST,   0, 148N, 1181W,  30, 1007, LO,   0,    ,    0,    0,    0,    0, 1010,  120,  60,   0,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 12, 2012091406,   , BEST,   0, 146N, 1189W,  30, 1007, LO,   0,    ,    0,    0,    0,    0, 1010,  150,  60,   0,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 12, 2012091412,   , BEST,   0, 143N, 1197W,  30, 1007, LO,   0,    ,    0,    0,    0,    0, 1010,  180,  60,   0,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 12, 2012091418,   , BEST,   0, 140N, 1208W,  30, 1007, LO,   0,    ,    0,    0,    0,    0, 1010,  180,  60,   0,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 12, 2012091500,   , BEST,   0, 138N, 1218W,  30, 1007, LO,   0,    ,    0,    0,    0,    0, 1010,  180,  60,  40,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 12, 2012091506,   , BEST,   0, 136N, 1224W,  30, 1005, LO,   0,    ,    0,    0,    0,    0, 1010,  180,  40,  40,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 12, 2012091512,   , BEST,   0, 132N, 1228W,  30, 1003, TD,   0,    ,    0,    0,    0,    0, 1010,  150,  30,  40,   0,   E,   0,    ,   0,   0,     TWELVE, M, 
EP, 12, 2012091518,   , BEST,   0, 131N, 1232W,  35, 1004, TS,  34, NEQ,   50,   50,   30,   50, 1010,  150,  30,  45,   0,   E,   0,    ,   0,   0,       LANE, M, 12, NEQ,   50,   50,   30,   25
EP, 12, 2012091600,   , BEST,   0, 131N, 1236W,  40, 1003, TS,  34, NEQ,   50,   50,   30,   50, 1008,  150,  30,  45,   0,   E,   0,    ,   0,   0,       LANE, M, 12, NEQ,   50,   50,   30,   25
EP, 12, 2012091606,   , BEST,   0, 133N, 1242W,  50, 1001, TS,  34, NEQ,   50,   50,   20,   40, 1011,  175,  30,  60,   0,   E,   0,    ,   0,   0,       LANE, M, 12, NEQ,   50,   50,   30,   30
EP, 12, 2012091606,   , BEST,   0, 133N, 1242W,  50, 1001, TS,  50, NEQ,   30,   30,    0,   20, 1011,  175,  30,  60,   0,   E,   0,    ,   0,   0,       LANE, M, 12, NEQ,   50,   50,   30,   30
EP, 12, 2012091612,   , BEST,   0, 137N, 1247W,  50, 1001, TS,  34, NEQ,   40,   70,   30,   20, 1011,  175,  30,  60,   0,   E,   0,    ,   0,   0,       LANE, M, 12, NEQ,   60,   45,   30,  120
EP, 12, 2012091612,   , BEST,   0, 137N, 1247W,  50, 1001, TS,  50, NEQ,   20,   30,    0,    0, 1011,  175,  30,  60,   0,   E,   0,    ,   0,   0,       LANE, M, 12, NEQ,   60,   45,   30,  120
EP, 12, 2012091618,   , BEST,   0, 141N, 1252W,  55,  997, TS,  34, NEQ,   60,   70,   30,   20, 1011,  175,  30,  65,   0,   E,   0,    ,   0,   0,       LANE, M, 12, NEQ,   90,   60,   30,   90
EP, 12, 2012091618,   , BEST,   0, 141N, 1252W,  55,  997, TS,  50, NEQ,   30,   30,    0,    0, 1011,  175,  30,  65,   0,   E,   0,    ,   0,   0,       LANE, M, 12, NEQ,   90,   60,   30,   90
EP, 12, 2012091700,   , BEST,   0, 147N, 1256W,  60,  995, TS,  34, NEQ,   70,   70,   30,   30, 1010,  160,  30,  75,   0,   E,   0,    ,   0,   0,       LANE, M, 12, NEQ,   90,   60,   45,   90
EP, 12, 2012091700,   , BEST,   0, 147N, 1256W,  60,  995, TS,  50, NEQ,   30,   30,    0,    0, 1010,  160,  30,  75,   0,   E,   0,    ,   0,   0,       LANE, M, 12, NEQ,   90,   60,   45,   90
EP, 12, 2012091706,   , BEST,   0, 155N, 1259W,  65,  993, HU,  34, NEQ,   70,   70,   30,   30, 1011,  140,  15,  80,   0,   E,   0,    ,   0,   0,       LANE, M, 12, NEQ,  120,   60,   45,  100
EP, 12, 2012091706,   , BEST,   0, 155N, 1259W,  65,  993, HU,  50, NEQ,   30,   30,    0,    0, 1011,  140,  15,  80,   0,   E,   0,    ,   0,   0,       LANE, M, 12, NEQ,  120,   60,   45,  100
EP, 12, 2012091706,   , BEST,   0, 155N, 1259W,  65,  993, HU,  64, NEQ,   15,    0,    0,    0, 1011,  140,  15,  80,   0,   E,   0,    ,   0,   0,       LANE, M, 12, NEQ,  120,   60,   45,  100
EP, 12, 2012091712,   , BEST,   0, 164N, 1264W,  65,  993, HU,  34, NEQ,   70,   70,   30,   30, 1011,  140,  15,  80,   0,   E,   0,    ,   0,   0,       LANE, M, 12, NEQ,  150,  120,   60,  120
EP, 12, 2012091712,   , BEST,   0, 164N, 1264W,  65,  993, HU,  50, NEQ,   30,   30,    0,   20, 1011,  140,  15,  80,   0,   E,   0,    ,   0,   0,       LANE, M, 12, NEQ,  150,  120,   60,  120
EP, 12, 2012091712,   , BEST,   0, 164N, 1264W,  65,  993, HU,  64, NEQ,   15,   15,    0,   10, 1011,  140,  15,  80,   0,   E,   0,    ,   0,   0,       LANE, M, 12, NEQ,  150,  120,   60,  120
EP, 12, 2012091718,   , BEST,   0, 172N, 1269W,  70,  989, HU,  34, NEQ,   70,   70,   40,   40, 1011,  140,  15,  85,   0,   E,   0,    ,   0,   0,       LANE, D, 12, NEQ,  150,  120,   60,  120
EP, 12, 2012091718,   , BEST,   0, 172N, 1269W,  70,  989, HU,  50, NEQ,   30,   30,   20,   20, 1011,  140,  15,  85,   0,   E,   0,    ,   0,   0,       LANE, D, 12, NEQ,  150,  120,   60,  120
EP, 12, 2012091718,   , BEST,   0, 172N, 1269W,  70,  989, HU,  64, NEQ,   15,   15,   10,   10, 1011,  140,  15,  85,   0,   E,   0,    ,   0,   0,       LANE, D, 12, NEQ,  150,  120,   60,  120
EP, 12, 2012091800,   , BEST,   0, 180N, 1274W,  70,  989, HU,  34, NEQ,   70,   70,   40,   40, 1011,  140,  15,  85,   0,   E,   0,    ,   0,   0,       LANE, D, 12, NEQ,  150,   70,   75,  150
EP, 12, 2012091800,   , BEST,   0, 180N, 1274W,  70,  989, HU,  50, NEQ,   30,   30,   20,   20, 1011,  140,  15,  85,   0,   E,   0,    ,   0,   0,       LANE, D, 12, NEQ,  150,   70,   75,  150
EP, 12, 2012091800,   , BEST,   0, 180N, 1274W,  70,  989, HU,  64, NEQ,   15,   15,   10,   10, 1011,  140,  15,  85,   0,   E,   0,    ,   0,   0,       LANE, D, 12, NEQ,  150,   70,   75,  150
EP, 12, 2012091806,   , BEST,   0, 188N, 1279W,  65,  989, HU,  34, NEQ,   70,   70,   40,   40, 1011,  140,  15,  80,   0,   E,   0,    ,   0,   0,       LANE, D, 12, NEQ,  150,  120,   75,  150
EP, 12, 2012091806,   , BEST,   0, 188N, 1279W,  65,  989, HU,  50, NEQ,   30,   30,   20,   20, 1011,  140,  15,  80,   0,   E,   0,    ,   0,   0,       LANE, D, 12, NEQ,  150,  120,   75,  150
EP, 12, 2012091806,   , BEST,   0, 188N, 1279W,  65,  989, HU,  64, NEQ,   15,   15,   10,   10, 1011,  140,  15,  80,   0,   E,   0,    ,   0,   0,       LANE, D, 12, NEQ,  150,  120,   75,  150
EP, 12, 2012091812,   , BEST,   0, 196N, 1284W,  55,  995, TS,  34, NEQ,   60,   50,   30,   50, 1011,  140,  15,  75,   0,   E,   0,    ,   0,   0,       LANE, D, 12, NEQ,  150,  120,   90,  150
EP, 12, 2012091812,   , BEST,   0, 196N, 1284W,  55,  995, TS,  50, NEQ,   25,   20,   15,   20, 1011,  140,  15,  75,   0,   E,   0,    ,   0,   0,       LANE, D, 12, NEQ,  150,  120,   90,  150
EP, 12, 2012091818,   , BEST,   0, 201N, 1290W,  45,  999, TS,  34, NEQ,   50,   40,   30,   40, 1011,  140,  25,  55,   0,   E,   0,    ,   0,   0,       LANE, M, 12, NEQ,  135,  105,   90,  135
EP, 12, 2012091900,   , BEST,   0, 204N, 1298W,  40, 1005, TS,  34, NEQ,   40,   30,   30,   30, 1012,  120,  25,  50,   0,   E,   0,    ,   0,   0,       LANE, M, 12, NEQ,  150,  120,   60,   90
EP, 12, 2012091906,   , BEST,   0, 207N, 1305W,  30, 1009, TD,   0,    ,    0,    0,    0,    0, 1014,  100,  25,  40,   0,   E,   0,    ,   0,   0,       LANE, M, 12, NEQ,   90,   90,   60,   90
EP, 12, 2012091912,   , BEST,   0, 209N, 1310W,  30, 1009, LO,  34, NEQ,    0,    0,    0,    0, 1014,  100,  30,  40,   0,   E,   0,    ,   0,   0,       LANE, S, 12, NEQ,   75,   75,   45,   75
