EP, 13, 2014081818,   , BEST,   0,  77N,  882W,  20, 1010, DB,   0,    ,    0,    0,    0,    0,    0,    0,  90,   0,   0, 
EP, 13, 2014081900,   , BEST,   0,  77N,  892W,  20, 1010, DB,   0,    ,    0,    0,    0,    0,    0,    0,  90,   0,   0, 
EP, 13, 2014081906,   , BEST,   0,  77N,  902W,  20, 1010, DB,   0,    ,    0,    0,    0,    0,    0,    0,  90,   0,   0, 
EP, 13, 2014081912,   , BEST,   0,  77N,  912W,  20, 1009, DB,   0,    ,    0,    0,    0,    0,    0,    0,  90,   0,   0, 
EP, 13, 2014081918,   , BEST,   0,  77N,  920W,  20, 1009, LO,   0,    ,    0,    0,    0,    0,    0,    0,  90,   0,   0, 
EP, 13, 2014082000,   , BEST,   0,  78N,  927W,  20, 1008, LO,   0,    ,    0,    0,    0,    0, 1011,  180,  90,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 13, 2014082006,   , BEST,   0,  81N,  930W,  20, 1008, LO,   0,    ,    0,    0,    0,    0, 1011,  180,  90,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 13, 2014082012,   , BEST,   0,  87N,  935W,  20, 1008, LO,   0,    ,    0,    0,    0,    0, 1011,  180,  90,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 13, 2014082018,   , BEST,   0,  93N,  939W,  20, 1008, LO,   0,    ,    0,    0,    0,    0, 1011,  180,  90,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 13, 2014082100,   , BEST,   0,  99N,  945W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1011,  180,  80,  35,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 13, 2014082106,   , BEST,   0, 103N,  952W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1011,  180,  60,  35,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 13, 2014082112,   , BEST,   0, 109N,  962W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1011,  180,  50,  35,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 13, 2014082118,   , BEST,   0, 115N,  973W,  30, 1007, LO,   0,    ,    0,    0,    0,    0, 1011,  180,  40,  35,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 13, 2014082200,   , BEST,   0, 122N,  985W,  30, 1007, TD,   0,    ,    0,    0,    0,    0, 1011,  180,  40,  40,   0,   E,   0,    ,   0,   0,   THIRTEEN, M,  0,    ,    0,    0,    0,    0,         TRANSITIONED, epC22014 to ep132014
EP, 13, 2014082206,   , BEST,   0, 126N, 1003W,  35, 1006, TS,  34, NEQ,   40,    0,    0,   40, 1012,  200,  25,  45,   0,   E,   0,    ,   0,   0,      MARIE, M, 12, NEQ,  180,    0,    0,    0, 
EP, 13, 2014082212,   , BEST,   0, 129N, 1018W,  45, 1002, TS,  34, NEQ,   50,    0,    0,   50, 1012,  200,  25,  55,   0,   E,   0,    ,   0,   0,      MARIE, M, 12, NEQ,  180,    0,    0,    0, 
EP, 13, 2014082218,   , BEST,   0, 132N, 1030W,  50, 1000, TS,  34, NEQ,   70,   30,   30,   70, 1012,  200,  20,  65,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  240,    0,    0,    0, 
EP, 13, 2014082218,   , BEST,   0, 132N, 1030W,  50, 1000, TS,  50, NEQ,   30,    0,    0,   30, 1012,  200,  20,  65,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  240,    0,    0,    0, 
EP, 13, 2014082300,   , BEST,   0, 135N, 1042W,  60,  995, TS,  34, NEQ,   80,   50,   40,   70, 1009,  200,  20,  75,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  240,    0,    0,   90, 
EP, 13, 2014082300,   , BEST,   0, 135N, 1042W,  60,  995, TS,  50, NEQ,   40,   30,   20,   30, 1009,  200,  20,  75,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  240,    0,    0,   90, 
EP, 13, 2014082306,   , BEST,   0, 138N, 1051W,  65,  992, HU,  34, NEQ,   80,   50,   40,   70, 1010,  200,  20,  80,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  300,   60,    0,  120, 
EP, 13, 2014082306,   , BEST,   0, 138N, 1051W,  65,  992, HU,  50, NEQ,   40,   30,   20,   30, 1010,  200,  20,  80,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  300,   60,    0,  120, 
EP, 13, 2014082306,   , BEST,   0, 138N, 1051W,  65,  992, HU,  64, NEQ,   20,   10,    0,   20, 1010,  200,  20,  80,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  300,   60,    0,  120, 
EP, 13, 2014082312,   , BEST,   0, 143N, 1061W,  75,  983, HU,  34, NEQ,   90,   60,   50,   80, 1009,  240,  20,  90,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  220,  280,  220,  150, 
EP, 13, 2014082312,   , BEST,   0, 143N, 1061W,  75,  983, HU,  50, NEQ,   40,   30,   20,   30, 1009,  240,  20,  90,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  220,  280,  220,  150, 
EP, 13, 2014082312,   , BEST,   0, 143N, 1061W,  75,  983, HU,  64, NEQ,   20,   10,   10,   20, 1009,  240,  20,  90,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  220,  280,  220,  150, 
