EP, 16, 2012101012,   , BEST,   0, 115N,  985W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1010,  150,  45,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 16, 2012101018,   , BEST,   0, 115N, 1000W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1010,  150,  45,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 16, 2012101100,   , BEST,   0, 116N, 1008W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1010,  150,  60,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 16, 2012101106,   , BEST,   0, 116N, 1017W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 16, 2012101112,   , BEST,   0, 116N, 1026W,  20, 1008, DB,   0,    ,    0,    0,    0,    0, 
EP, 16, 2012101118,   , BEST,   0, 117N, 1034W,  20, 1008, DB,   0,    ,    0,    0,    0,    0, 
EP, 16, 2012101200,   , BEST,   0, 119N, 1041W,  20, 1008, DB,   0,    ,    0,    0,    0,    0, 1010,  110,  50,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 16, 2012101206,   , BEST,   0, 123N, 1050W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1010,  150,  60,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 16, 2012101212,   , BEST,   0, 132N, 1059W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 
EP, 16, 2012101218,   , BEST,   0, 136N, 1068W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 
EP, 16, 2012101300,   , BEST,   0, 140N, 1083W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1010,  150,  60,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 16, 2012101306,   , BEST,   0, 140N, 1097W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1010,  150,  60,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 16, 2012101312,   , BEST,   0, 140N, 1111W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1010,  150,  60,  35,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 16, 2012101318,   , BEST,   0, 139N, 1126W,  35, 1005, LO,  34, NEQ,   30,    0,    0,   30, 1010,  225,  30,  45,   0,   E,   0,    ,   0,   0,       PAUL, M, 
EP, 16, 2012101400,   , BEST,   0, 140N, 1135W,  40, 1003, TS,  34, NEQ,   60,   30,   30,   60, 1009,  325,  30,  55,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,   30,    0,    0,   30
EP, 16, 2012101406,   , BEST,   0, 141N, 1142W,  45, 1001, TS,  34, NEQ,   60,    0,   40,   80, 1011,  250,  30,  55,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,   60,   30,   30,   60
EP, 16, 2012101412,   , BEST,   0, 146N, 1149W,  45, 1001, TS,  34, NEQ,   60,   30,   40,   80, 1011,  250,  30,  55,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,   40,    0,   20,   75
EP, 16, 2012101418,   , BEST,   0, 149N, 1151W,  50,  999, TS,  34, NEQ,   70,   40,   40,   70, 1009,  250,  30,  60,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,   60,   15,   30,   75
EP, 16, 2012101418,   , BEST,   0, 149N, 1151W,  50,  999, TS,  50, NEQ,   30,    0,    0,    0, 1009,  250,  30,  60,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,   60,   15,   30,   75
EP, 16, 2012101500,   , BEST,   0, 152N, 1151W,  60,  991, TS,  34, NEQ,   80,   60,   50,   60, 1008,  260,  30,  75,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,  120,   60,   60,  120
EP, 16, 2012101500,   , BEST,   0, 152N, 1151W,  60,  991, TS,  50, NEQ,   40,   30,   20,   20, 1008,  260,  30,  75,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,  120,   60,   60,  120
EP, 16, 2012101506,   , BEST,   0, 158N, 1150W,  65,  988, HU,  34, NEQ,   80,   70,   50,   60, 1008,  260,  20,  80,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,  150,   90,   90,  150
EP, 16, 2012101506,   , BEST,   0, 158N, 1150W,  65,  988, HU,  50, NEQ,   40,   40,   20,   20, 1008,  260,  20,  80,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,  150,   90,   90,  150
EP, 16, 2012101506,   , BEST,   0, 158N, 1150W,  65,  988, HU,  64, NEQ,   20,   20,    0,    0, 1008,  260,  20,  80,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,  150,   90,   90,  150
EP, 16, 2012101512,   , BEST,   0, 168N, 1147W,  80,  979, HU,  34, NEQ,   90,   80,   60,   70, 1009,  280,  20,  90,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,  135,  160,  100,  135
EP, 16, 2012101512,   , BEST,   0, 168N, 1147W,  80,  979, HU,  50, NEQ,   50,   40,   20,   30, 1009,  280,  20,  90,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,  135,  160,  100,  135
EP, 16, 2012101512,   , BEST,   0, 168N, 1147W,  80,  979, HU,  64, NEQ,   25,   20,   10,   20, 1009,  280,  20,  90,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,  135,  160,  100,  135
EP, 16, 2012101518,   , BEST,   0, 178N, 1144W, 105,  960, HU,  34, NEQ,   60,   80,   60,   70, 1009,  290,  20, 115,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,  210,  270,  120,  150
EP, 16, 2012101518,   , BEST,   0, 178N, 1144W, 105,  960, HU,  50, NEQ,   30,   40,   30,   40, 1009,  290,  20, 115,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,  210,  270,  120,  150
EP, 16, 2012101518,   , BEST,   0, 178N, 1144W, 105,  960, HU,  64, NEQ,   15,   20,   10,   20, 1009,  290,  20, 115,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,  210,  270,  120,  150
EP, 16, 2012101600,   , BEST,   0, 193N, 1138W, 100,  963, HU,  34, NEQ,   70,   80,   60,   50, 1008,  300,  20, 120,  15,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,  180,  300,  150,  150
EP, 16, 2012101600,   , BEST,   0, 193N, 1138W, 100,  963, HU,  50, NEQ,   40,   40,   30,   30, 1008,  300,  20, 120,  15,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,  180,  300,  150,  150
EP, 16, 2012101600,   , BEST,   0, 193N, 1138W, 100,  963, HU,  64, NEQ,   25,   25,   20,   20, 1008,  300,  20, 120,  15,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,  180,  300,  150,  150
EP, 16, 2012101606,   , BEST,   0, 207N, 1131W,  95,  967, HU,  34, NEQ,   90,  100,   60,   50, 1008,  300,  20, 115,  10,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,  180,  270,  150,  150
EP, 16, 2012101606,   , BEST,   0, 207N, 1131W,  95,  967, HU,  50, NEQ,   50,   50,   30,   30, 1008,  300,  20, 115,  10,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,  180,  270,  150,  150
EP, 16, 2012101606,   , BEST,   0, 207N, 1131W,  95,  967, HU,  64, NEQ,   25,   25,   20,   20, 1008,  300,  20, 115,  10,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,  180,  270,  150,  150
EP, 16, 2012101612,   , BEST,   0, 227N, 1125W,  90,  970, HU,  34, NEQ,   90,  100,   60,   50, 1008,  300,  20, 110,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,  180,  270,  150,  150
EP, 16, 2012101612,   , BEST,   0, 227N, 1125W,  90,  970, HU,  50, NEQ,   50,   50,   30,   30, 1008,  300,  20, 110,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,  180,  270,  150,  150
EP, 16, 2012101612,   , BEST,   0, 227N, 1125W,  90,  970, HU,  64, NEQ,   25,   25,   20,   20, 1008,  300,  20, 110,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,  180,  270,  150,  150
EP, 16, 2012101618,   , BEST,   0, 242N, 1124W,  70,  980, HU,  34, NEQ,   90,  100,   40,   40, 1008,  300,  20,  85,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,   90,  270,  150,  120
EP, 16, 2012101618,   , BEST,   0, 242N, 1124W,  70,  980, HU,  50, NEQ,   50,   50,   25,   25, 1008,  300,  20,  85,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,   90,  270,  150,  120
EP, 16, 2012101618,   , BEST,   0, 242N, 1124W,  70,  980, HU,  64, NEQ,   25,   25,   20,   20, 1008,  300,  20,  85,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,   90,  270,  150,  120
EP, 16, 2012101700,   , BEST,   0, 251N, 1125W,  55,  989, TS,  34, NEQ,  120,  100,   40,   40, 1005,  200,  25,  65,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,   90,  270,  150,  120
EP, 16, 2012101700,   , BEST,   0, 251N, 1125W,  55,  989, TS,  50, NEQ,   50,   50,   20,   20, 1005,  200,  25,  65,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,   90,  270,  150,  120
EP, 16, 2012101706,   , BEST,   0, 260N, 1130W,  40,  997, TS,  34, NEQ,  120,  100,   40,   40, 1005,  200,  30,  50,   0,   E,   0,    ,   0,   0,       PAUL, S, 12, NEQ,   30,  270,  120,   90
EP, 16, 2012101712,   , BEST,   0, 267N, 1137W,  35,  999, TS,  34, NEQ,   60,   50,   40,   40, 1005,  175,  30,  45,   0,   E,   0,    ,   0,   0,       PAUL, S, 12, NEQ,   30,   90,   75,   30
EP, 16, 2012101718,   , BEST,   0, 274N, 1147W,  30, 1003, LO,  34, NEQ,    0,    0,    0,    0, 1008,  175,  40,  40,   0,   E,   0,    ,   0,   0,       PAUL, S, 
