EP, 17, 2013101706,   , BEST,   0,  93N,  896W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 17, 2013101712,   , BEST,   0,  95N,  906W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 17, 2013101718,   , BEST,   0,  96N,  915W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 17, 2013101800,   , BEST,   0,  98N,  925W,  20, 1008, DB,   0,    ,    0,    0,    0,    0, 1010,  150,  30,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 17, 2013101806,   , BEST,   0, 100N,  938W,  20, 1008, DB,   0,    ,    0,    0,    0,    0, 
EP, 17, 2013101812,   , BEST,   0, 103N,  951W,  20, 1008, DB,   0,    ,    0,    0,    0,    0, 
EP, 17, 2013101818,   , BEST,   0, 105N,  963W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1011,  150,  60,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 17, 2013101900,   , BEST,   0, 107N,  972W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1011,  170,  60,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 17, 2013101906,   , BEST,   0, 113N,  984W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 17, 2013101912,   , BEST,   0, 122N,  994W,  25, 1008, DB,   0,    ,    0,    0,    0,    0, 1010,  200,  60,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 17, 2013101918,   , BEST,   0, 131N,  999W,  25, 1008, LO,   0,    ,    0,    0,    0,    0, 1010,  200,  60,  35,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 17, 2013102000,   , BEST,   0, 138N, 1003W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1008,  150,  40,  40,   0,   E,   0,    ,   0,   0,  SEVENTEEN, M, 
EP, 17, 2013102006,   , BEST,   0, 142N, 1010W,  35, 1004, TS,  34, NEQ,   30,   30,    0,   30, 1008,  150,  30,  45,   0,   E,   0,    ,   0,   0,    RAYMOND, M, 
EP, 17, 2013102012,   , BEST,   0, 147N, 1015W,  45, 1000, TS,  34, NEQ,   40,   40,    0,   40, 1008,  150,  30,  55,   0,   E,   0,    ,   0,   0,    RAYMOND, M, 12, NEQ,   60,   60,    0,   60
EP, 17, 2013102018,   , BEST,   0, 152N, 1018W,  65,  989, HU,  34, NEQ,   40,   50,   20,   40, 1008,  150,  20,  65,   0,   E,   0,    ,   0,   0,    RAYMOND, M, 12, NEQ,   60,   60,    0,   60
EP, 17, 2013102018,   , BEST,   0, 152N, 1018W,  65,  989, HU,  50, NEQ,   20,   20,    0,    0, 1008,  150,  20,  65,   0,   E,   0,    ,   0,   0,    RAYMOND, M, 12, NEQ,   60,   60,    0,   60
EP, 17, 2013102018,   , BEST,   0, 152N, 1018W,  65,  989, HU,  64, NEQ,   10,   10,    0,    0, 1008,  150,  20,  65,   0,   E,   0,    ,   0,   0,    RAYMOND, M, 12, NEQ,   60,   60,    0,   60
EP, 17, 2013102100,   , BEST,   0, 157N, 1020W,  80,  978, HU,  34, NEQ,   50,   50,   30,   50, 1007,  150,  15,  80,   0,   E,   0,    ,   0,   0,    RAYMOND, D, 12, NEQ,   90,   60,    0,   90
EP, 17, 2013102100,   , BEST,   0, 157N, 1020W,  80,  978, HU,  50, NEQ,   30,   30,   10,   30, 1007,  150,  15,  80,   0,   E,   0,    ,   0,   0,    RAYMOND, D, 12, NEQ,   90,   60,    0,   90
EP, 17, 2013102100,   , BEST,   0, 157N, 1020W,  80,  978, HU,  64, NEQ,   15,   15,    0,   15, 1007,  150,  15,  80,   0,   E,   0,    ,   0,   0,    RAYMOND, D, 12, NEQ,   90,   60,    0,   90
EP, 17, 2013102106,   , BEST,   0, 160N, 1022W,  95,  967, HU,  34, NEQ,   60,   50,   40,   60, 1007,  150,  15, 115,   0,   E,   0,    ,   0,   0,    RAYMOND, D, 12, NEQ,   90,   60,   30,   90
EP, 17, 2013102106,   , BEST,   0, 160N, 1022W,  95,  967, HU,  50, NEQ,   30,   30,   20,   30, 1007,  150,  15, 115,   0,   E,   0,    ,   0,   0,    RAYMOND, D, 12, NEQ,   90,   60,   30,   90
EP, 17, 2013102106,   , BEST,   0, 160N, 1022W,  95,  967, HU,  64, NEQ,   15,   15,   10,   15, 1007,  150,  15, 115,   0,   E,   0,    ,   0,   0,    RAYMOND, D, 12, NEQ,   90,   60,   30,   90
EP, 17, 2013102112,   , BEST,   0, 162N, 1022W, 105,  954, HU,  34, NEQ,   60,   50,   40,   60, 1007,  150,  15, 130,   0,   E,   0,    ,   0,   0,    RAYMOND, D, 12, NEQ,   90,   90,   50,   90
