EP, 19, 2014092818,   , BEST,   0, 127N,  949W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 1011,  150,  70,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 19, 2014092900,   , BEST,   0, 129N,  954W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 1011,  150,  70,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 19, 2014092906,   , BEST,   0, 131N,  959W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 1011,  150,  70,   0,   0, 
EP, 19, 2014092912,   , BEST,   0, 133N,  962W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 1011,  150,  70,   0,   0, 
EP, 19, 2014092918,   , BEST,   0, 137N,  970W,  25, 1008, LO,   0,    ,    0,    0,    0,    0, 1011,  150,  70,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 19, 2014093000,   , BEST,   0, 140N,  981W,  25, 1008, LO,   0,    ,    0,    0,    0,    0, 1011,  150,  70,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 19, 2014093006,   , BEST,   0, 145N,  992W,  25, 1008, LO,   0,    ,    0,    0,    0,    0, 1010,  150,  70,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 19, 2014093012,   , BEST,   0, 148N, 1001W,  25, 1008, LO,   0,    ,    0,    0,    0,    0, 1010,  150,  70,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 19, 2014093018,   , BEST,   0, 151N, 1009W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1009,  175,  80,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 19, 2014100100,   , BEST,   0, 159N, 1021W,  25, 1005, LO,   0,    ,    0,    0,    0,    0, 1007,  175,  80,  35,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 19, 2014100106,   , BEST,   0, 163N, 1028W,  25, 1005, LO,   0,    ,    0,    0,    0,    0, 1007,  175,  80,   0,   0, 
EP, 19, 2014100112,   , BEST,   0, 169N, 1033W,  25, 1005, LO,   0,    ,    0,    0,    0,    0, 1007,  175,  80,   0,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 19, 2014100118,   , BEST,   0, 171N, 1040W,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1007,  150,  40,  35,   0,   E,   0,    ,   0,   0,   NINETEEN, M,  0,    ,    0,    0,    0,    0,         TRANSITIONED, epD02014 to ep192014
EP, 19, 2014100200,   , BEST,   0, 176N, 1050W,  30, 1003, TD,   0,    ,    0,    0,    0,    0, 1007,  150,  40,  40,   0,   E,   0,    ,   0,   0,   NINETEEN, M, 
EP, 19, 2014100206,   , BEST,   0, 179N, 1057W,  35, 1002, TS,  34, NEQ,   30,    0,    0,   30, 1007,  150,  30,  45,   0,   E,   0,    ,   0,   0,   NINETEEN, M, 
EP, 19, 2014100212,   , BEST,   0, 182N, 1067W,  35, 1002, TS,  34, NEQ,   30,    0,    0,   30, 1008,  150,  30,  45,   0,   E,   0,    ,   0,   0,      SIMON, M, 
EP, 19, 2014100218,   , BEST,   0, 182N, 1074W,  45, 1000, TS,  34, NEQ,   40,   30,    0,   40, 1008,  150,  30,  55,   0,   E,   0,    ,   0,   0,      SIMON, M, 12, NEQ,   30,    0,    0,   30, 
EP, 19, 2014100300,   , BEST,   0, 181N, 1079W,  45,  998, TS,  34, NEQ,   40,   30,    0,   40, 1008,  150,  30,  55,   0,   E,   0,    ,   0,   0,      SIMON, M, 12, NEQ,   40,   30,    0,   40, 
EP, 19, 2014100306,   , BEST,   0, 182N, 1084W,  45,  998, TS,  34, NEQ,   40,   30,   20,   30, 1008,  150,  10,  55,   0,   E,   0,    ,   0,   0,      SIMON, D, 12, NEQ,   60,   45,    0,   60, 
EP, 19, 2014100312,   , BEST,   0, 184N, 1093W,  45,  998, TS,  34, NEQ,   40,   30,   20,   30, 1008,  150,  10,  55,   0,   E,   0,    ,   0,   0,      SIMON, D, 
EP, 19, 2014100318,   , BEST,   0, 187N, 1102W,  55,  993, TS,  34, NEQ,   40,   40,   30,   30, 1007,  150,  10,  65,   0,   E,   0,    ,   0,   0,      SIMON, D, 12, NEQ,   90,   60,   30,   60, 
EP, 19, 2014100318,   , BEST,   0, 187N, 1102W,  55,  993, TS,  50, NEQ,   10,   20,    0,   10, 1007,  150,  10,  65,   0,   E,   0,    ,   0,   0,      SIMON, D, 12, NEQ,   90,   60,   30,   60, 
EP, 19, 2014100400,   , BEST,   0, 190N, 1112W,  65,  988, HU,  34, NEQ,   40,   40,   30,   30, 1007,  150,  10,  80,   0,   E,   0,    ,   0,   0,      SIMON, D, 12, NEQ,  120,   60,   45,   75, 
EP, 19, 2014100400,   , BEST,   0, 190N, 1112W,  65,  988, HU,  50, NEQ,   20,   10,    0,   10, 1007,  150,  10,  80,   0,   E,   0,    ,   0,   0,      SIMON, D, 12, NEQ,  120,   60,   45,   75, 
EP, 19, 2014100400,   , BEST,   0, 190N, 1112W,  65,  988, HU,  64, NEQ,   10,    0,    0,    0, 1007,  150,  10,  80,   0,   E,   0,    ,   0,   0,      SIMON, D, 12, NEQ,  120,   60,   45,   75, 
EP, 19, 2014100406,   , BEST,   0, 193N, 1122W,  70,  984, HU,  34, NEQ,   40,   40,   30,   30, 1007,  150,  10,  85,   0,   E,   0,    ,   0,   0,      SIMON, D, 12, NEQ,  120,   60,   45,   75, 
EP, 19, 2014100406,   , BEST,   0, 193N, 1122W,  70,  984, HU,  50, NEQ,   20,   20,   10,   10, 1007,  150,  10,  85,   0,   E,   0,    ,   0,   0,      SIMON, D, 12, NEQ,  120,   60,   45,   75, 
EP, 19, 2014100406,   , BEST,   0, 193N, 1122W,  70,  984, HU,  64, NEQ,   10,   10,    0,    0, 1007,  150,  10,  85,   0,   E,   0,    ,   0,   0,      SIMON, D, 12, NEQ,  120,   60,   45,   75, 
EP, 19, 2014100412,   , BEST,   0, 198N, 1134W,  90,  970, HU,  34, NEQ,   60,   60,   40,   60, 1007,  150,  10, 110,   0,   E,   0,    ,   0,   0,      SIMON, D, 12, NEQ,  120,   60,   45,   75, 
EP, 19, 2014100412,   , BEST,   0, 198N, 1134W,  90,  970, HU,  50, NEQ,   30,   30,   20,   30, 1007,  150,  10, 110,   0,   E,   0,    ,   0,   0,      SIMON, D, 12, NEQ,  120,   60,   45,   75, 
EP, 19, 2014100412,   , BEST,   0, 198N, 1134W,  90,  970, HU,  64, NEQ,   20,   20,   10,   20, 1007,  150,  10, 110,   0,   E,   0,    ,   0,   0,      SIMON, D, 12, NEQ,  120,   60,   45,   75, 
