SH, 09, 2018020812,   , BEST,   0, 148S, 1788W,  25,  998, TD,   0,    ,    0,    0,    0,    0, 1006,  215,  40,   0,   0,   P,   0,    ,   0,   0,     INVEST, S, 
SH, 09, 2018020818,   , BEST,   0, 145S, 1769W,  25,  997, TD,   0,    ,    0,    0,    0,    0,  998,   90,  40,   0,   0,   P,   0,    ,   0,   0,     INVEST, S, 
SH, 09, 2018020900,   , BEST,   0, 142S, 1759W,  40,  992, TS,  34, NEQ,   60,    0,    0,  130,  998,  130,  45,   0,   0,   P,   0,    ,   0,   0,       NINE, S,  0,    ,    0,    0,    0,    0, TRANSITIONED, shC72018 to sh092018, 
SH, 09, 2018020906,   , BEST,   0, 143S, 1745W,  40,  989, TS,  34, NEQ,  145,    0,    0,  145,  998,  130,  45,   0,   0,   P,   0,    ,   0,   0,       NINE, S, 
SH, 09, 2018020912,   , BEST,   0, 145S, 1730W,  45,  986, TS,  34, NEQ,  175,  145,   85,  190,  998,  145,  45,   0,   0,   P,   0,    ,   0,   0,       GITA, M, 
SH, 09, 2018020918,   , BEST,   0, 153S, 1714W,  45,  982, TS,  34, NEQ,  180,  145,   85,  180,  993,  175,  45,   0,   0,   P,   0,    ,   0,   0,       GITA, M, 
SH, 09, 2018021000,   , BEST,   0, 161S, 1700W,  50,  981, TS,  34, NEQ,  190,  135,   80,  170,  994,  180,  45,   0,   0,   P,   0,    ,   0,   0,       GITA, M, 
SH, 09, 2018021000,   , BEST,   0, 161S, 1700W,  50,  981, TS,  50, NEQ,   60,   35,   20,   45,  994,  180,  45,   0,   0,   P,   0,    ,   0,   0,       GITA, M, 
SH, 09, 2018021006,   , BEST,   0, 170S, 1690W,  50,  980, TS,  34, NEQ,  165,  115,   75,  125,  994,  180,  45,   0,   0,   P,   0,    ,   0,   0,       GITA, M, 
SH, 09, 2018021012,   , BEST,   0, 182S, 1685W,  55,  988, TS,  34, NEQ,  160,  135,   90,  120,  998,  185,  45,   0,   0,   P,   0,    ,   0,   0,       GITA, M, 
SH, 09, 2018021012,   , BEST,   0, 182S, 1685W,  55,  988, TS,  50, NEQ,   85,   70,   40,   60,  998,  185,  45,   0,   0,   P,   0,    ,   0,   0,       GITA, M, 
