SH, 17, 2015030800,   , BEST,   0,  79S, 1703E,  20,  999, DB,   0,    ,    0,    0,    0,    0, 1002,  200,  50,   0,   0,   P,   0,    ,   0,   0,     INVEST, S, 
SH, 17, 2015030806,   , BEST,   0,  79S, 1695E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1005,  200,  50,   0,   0,   P,   0,    ,   0,   0,     INVEST, S, 
SH, 17, 2015030812,   , BEST,   0,  75S, 1688E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1005,  200,  50,   0,   0,   P,   0,    ,   0,   0,     INVEST, S, 
SH, 17, 2015030818,   , BEST,   0,  77S, 1694E,  30,  997, TD,   0,    ,    0,    0,    0,    0, 1000,  200,  50,   0,   0,   P,   0,    ,   0,   0,     INVEST, S, 
SH, 17, 2015030900,   , BEST,   0,  82S, 1696E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1001,  250,  50,   0,   0,   P,   0,    ,   0,   0,     INVEST, S, 
SH, 17, 2015030906,   , BEST,   0,  82S, 1700E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1001,  250,  50,   0,   0,   P,   0,    ,   0,   0,  SEVENTEEN, M,  0,    ,    0,    0,    0,    0,         TRANSITIONED, shE32015 to sh172015
SH, 17, 2015030912,   , BEST,   0,  89S, 1704E,  45,  989, TS,  34, NEQ,   30,   30,   30,   25, 1001,  250,  30,   0,   0,   P,   0,    ,   0,   0,        PAM, M, 
SH, 17, 2015030918,   , BEST,   0,  94S, 1704E,  55,  982, TS,  34, NEQ,   70,   60,   65,   75, 1001,  260,  20,   0,   0,   P,   0,    ,   0,   0,        PAM, D, 
SH, 17, 2015030918,   , BEST,   0,  94S, 1704E,  55,  982, TS,  50, NEQ,   25,   20,   20,   25, 1001,  260,  20,   0,   0,   P,   0,    ,   0,   0,        PAM, D, 
SH, 17, 2015031000,   , BEST,   0,  98S, 1705E,  65,  974, TY,  34, NEQ,   70,   60,   65,   75, 1001,  260,  20,   0,   0,   P,   0,    ,   0,   0,        PAM, D, 
SH, 17, 2015031000,   , BEST,   0,  98S, 1705E,  65,  974, TY,  50, NEQ,   25,   20,   20,   25, 1001,  260,  20,   0,   0,   P,   0,    ,   0,   0,        PAM, D, 
SH, 17, 2015031006,   , BEST,   0, 102S, 1705E,  65,  974, TY,  34, NEQ,   70,   65,   65,   75,  996,  230,  20,   0,   0,   P,   0,    ,   0,   0,        PAM, D, 
SH, 17, 2015031006,   , BEST,   0, 102S, 1705E,  65,  974, TY,  50, NEQ,   25,   20,   20,   25,  996,  230,  20,   0,   0,   P,   0,    ,   0,   0,        PAM, D, 
SH, 17, 2015031012,   , BEST,   0, 106S, 1703E,  80,  963, TY,  34, NEQ,  160,  145,  140,  155, 1001,  230,  20,   0,   0,   P,   0,    ,   0,   0,        PAM, D, 
SH, 17, 2015031012,   , BEST,   0, 106S, 1703E,  80,  963, TY,  50, NEQ,   80,   55,   55,   40, 1001,  230,  20,   0,   0,   P,   0,    ,   0,   0,        PAM, D, 
SH, 17, 2015031012,   , BEST,   0, 106S, 1703E,  80,  963, TY,  64, NEQ,   25,   20,   20,   20, 1001,  230,  20,   0,   0,   P,   0,    ,   0,   0,        PAM, D, 
SH, 17, 2015031018,   , BEST,   0, 108S, 1700E,  90,  956, TY,  34, NEQ,  160,  145,  140,  155, 1001,  230,  20,   0,   0,   P,   0,    ,   0,   0,        PAM, D, 
SH, 17, 2015031018,   , BEST,   0, 108S, 1700E,  90,  956, TY,  50, NEQ,   80,   55,   55,   40, 1001,  230,  20,   0,   0,   P,   0,    ,   0,   0,        PAM, D, 
