WP, 26, 2013101400,   , BEST,   0, 161N, 1523E,  15, 1010, DB,   0,    ,    0,    0,    0,    0, 
WP, 26, 2013101406,   , BEST,   0, 161N, 1520E,  15, 1010, DB,   0,    ,    0,    0,    0,    0, 
WP, 26, 2013101412,   , BEST,   0, 159N, 1512E,  15, 1010, DB,   0,    ,    0,    0,    0,    0, 
WP, 26, 2013101418,   , BEST,   0, 155N, 1504E,  15, 1010, DB,   0,    ,    0,    0,    0,    0, 
WP, 26, 2013101500,   , BEST,   0, 149N, 1495E,  15, 1010, DB,   0,    ,    0,    0,    0,    0, 1011,  170,  45,   0,   0,   W,   0,    ,   0,   0,     INVEST, S, 
WP, 26, 2013101506,   , BEST,   0, 143N, 1485E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1011,  170,  45,   0,   0,   W,   0,    ,   0,   0,     INVEST, S, 
WP, 26, 2013101512,   , BEST,   0, 136N, 1474E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1011,  170,  45,   0,   0,   W,   0,    ,   0,   0,     INVEST, S, 
WP, 26, 2013101518,   , BEST,   0, 130N, 1465E,  20, 1006, DB,   0,    ,    0,    0,    0,    0, 1008,  170,  45,   0,   0,   W,   0,    ,   0,   0,     INVEST, S, 
WP, 26, 2013101600,   , BEST,   0, 128N, 1454E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1008,  170,  45,   0,   0,   W,   0,    ,   0,   0,  TWENTYSIX, S, 
WP, 26, 2013101606,   , BEST,   0, 124N, 1444E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1008,  180,  45,   0,   0,   W,   0,    ,   0,   0,  TWENTYSIX, S, 
WP, 26, 2013101612,   , BEST,   0, 114N, 1433E,  45,  989, TS,  34, NEQ,   50,   50,   50,   50, 1008,  190,  45,   0,   0,   W,   0,    ,   0,   0,  TWENTYSIX, S, 
WP, 26, 2013101618,   , BEST,   0, 111N, 1430E,  60,  978, TS,  34, NEQ,  110,  115,  100,  105, 1008,  190,  20,   0,   0,   W,   0,    ,   0,   0,  FRANCISCO, S, 
WP, 26, 2013101618,   , BEST,   0, 111N, 1430E,  60,  978, TS,  50, NEQ,   30,   30,   30,   30, 1008,  190,  20,   0,   0,   W,   0,    ,   0,   0,  FRANCISCO, S, 
WP, 26, 2013101700,   , BEST,   0, 110N, 1428E,  70,  970, TY,  34, NEQ,  110,  115,  110,  110, 1008,  190,  12,   0,  15,   W,   0,    ,   0,   0,  FRANCISCO, S, 
WP, 26, 2013101700,   , BEST,   0, 110N, 1428E,  70,  970, TY,  50, NEQ,   30,   30,   30,   30, 1008,  190,  12,   0,  15,   W,   0,    ,   0,   0,  FRANCISCO, S, 
WP, 26, 2013101700,   , BEST,   0, 110N, 1428E,  70,  970, TY,  64, NEQ,   15,   15,   15,   15, 1008,  190,  12,   0,  15,   W,   0,    ,   0,   0,  FRANCISCO, S, 
WP, 26, 2013101706,   , BEST,   0, 114N, 1427E,  75,  967, TY,  34, NEQ,  110,  115,  125,  100, 1008,  190,  15,   0,  20,   W,   0,    ,   0,   0,  FRANCISCO, S, 
WP, 26, 2013101706,   , BEST,   0, 114N, 1427E,  75,  967, TY,  50, NEQ,   45,   45,   40,   40, 1008,  190,  15,   0,  20,   W,   0,    ,   0,   0,  FRANCISCO, S, 
WP, 26, 2013101706,   , BEST,   0, 114N, 1427E,  75,  967, TY,  64, NEQ,   20,   20,   20,   20, 1008,  190,  15,   0,  20,   W,   0,    ,   0,   0,  FRANCISCO, S, 
WP, 26, 2013101712,   , BEST,   0, 121N, 1429E,  95,  952, TY,  34, NEQ,  110,  130,  125,  100, 1008,  190,  15,   0,  20,   W,   0,    ,   0,   0,  FRANCISCO, D, 
WP, 26, 2013101712,   , BEST,   0, 121N, 1429E,  95,  952, TY,  50, NEQ,   55,   60,   45,   40, 1008,  190,  15,   0,  20,   W,   0,    ,   0,   0,  FRANCISCO, D, 
WP, 26, 2013101712,   , BEST,   0, 121N, 1429E,  95,  952, TY,  64, NEQ,   30,   30,   30,   30, 1008,  190,  15,   0,  20,   W,   0,    ,   0,   0,  FRANCISCO, D, 
WP, 26, 2013101718,   , BEST,   0, 132N, 1427E, 110,  941, TY,  34, NEQ,  110,  130,  125,  105, 1006,  210,  12,   0,  15,   W,   0,    ,   0,   0,  FRANCISCO, D, 
WP, 26, 2013101718,   , BEST,   0, 132N, 1427E, 110,  941, TY,  50, NEQ,   55,   60,   60,   55, 1006,  210,  12,   0,  15,   W,   0,    ,   0,   0,  FRANCISCO, D, 
WP, 26, 2013101718,   , BEST,   0, 132N, 1427E, 110,  941, TY,  64, NEQ,   30,   30,   30,   30, 1006,  210,  12,   0,  15,   W,   0,    ,   0,   0,  FRANCISCO, D, 
WP, 26, 2013101800,   , BEST,   0, 138N, 1423E, 120,  933, TY,  34, NEQ,  115,  125,  125,  115, 1007,  225,  12,   0,  15,   W,   0,    ,   0,   0,  FRANCISCO, D, 
WP, 26, 2013101800,   , BEST,   0, 138N, 1423E, 120,  933, TY,  50, NEQ,   55,   60,   60,   55, 1007,  225,  12,   0,  15,   W,   0,    ,   0,   0,  FRANCISCO, D, 
WP, 26, 2013101800,   , BEST,   0, 138N, 1423E, 120,  933, TY,  64, NEQ,   30,   30,   30,   30, 1007,  225,  12,   0,  15,   W,   0,    ,   0,   0,  FRANCISCO, D, 
WP, 26, 2013101806,   , BEST,   0, 142N, 1420E, 125,  929, TY,  34, NEQ,  130,  145,  125,  115, 1007,  225,  12,   0,  15,   W,   0,    ,   0,   0,  FRANCISCO, D, 
WP, 26, 2013101806,   , BEST,   0, 142N, 1420E, 125,  929, TY,  50, NEQ,   80,   85,   75,   75, 1007,  225,  12,   0,  15,   W,   0,    ,   0,   0,  FRANCISCO, D, 
