AL, 08, 2014101000,   , BEST,   0, 124N,  467W,  20, 1010, DB,   0,    ,    0,    0,    0,    0, 1012,  160,  80,   0,   0, 
AL, 08, 2014101006,   , BEST,   0, 129N,  479W,  25, 1010, DB,   0,    ,    0,    0,    0,    0, 1012,  160,  80,   0,   0, 
AL, 08, 2014101012,   , BEST,   0, 137N,  495W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 1012,  160,  90,   0,   0,   L,   0,    ,   0,   0,     INVEST, M, 
AL, 08, 2014101018,   , BEST,   0, 146N,  512W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 1012,  160,  80,   0,   0,   L,   0,    ,   0,   0,     INVEST, M, 
AL, 08, 2014101100,   , BEST,   0, 153N,  520W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 1012,  120,  80,   0,   0,   L,   0,    ,   0,   0,     INVEST, M, 
AL, 08, 2014101106,   , BEST,   0, 157N,  530W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 1012,  120,  80,   0,   0,   L,   0,    ,   0,   0,     INVEST, M, 
AL, 08, 2014101112,   , BEST,   0, 160N,  540W,  25, 1009, LO,   0,    ,    0,    0,    0,    0, 1012,  120,  60,   0,   0,   L,   0,    ,   0,   0,     INVEST, M, 
AL, 08, 2014101118,   , BEST,   0, 163N,  550W,  30, 1010, LO,   0,    ,    0,    0,    0,    0, 1013,  120,  60,   0,   0,   L,   0,    ,   0,   0,     INVEST, M, 
AL, 08, 2014101200,   , BEST,   0, 165N,  559W,  30, 1010, LO,   0,    ,    0,    0,    0,    0, 1013,  120,  60,   0,   0,   L,   0,    ,   0,   0,     INVEST, M, 
AL, 08, 2014101206,   , BEST,   0, 166N,  569W,  30, 1010, LO,   0,    ,    0,    0,    0,    0, 1013,  120,  60,   0,   0,   L,   0,    ,   0,   0,     INVEST, M, 
AL, 08, 2014101212,   , BEST,   0, 164N,  579W,  30, 1009, TD,   0,    ,    0,    0,    0,    0, 1013,  120,  40,  40,   0,   L,   0,    ,   0,   0,     INVEST, D,  0,    ,    0,    0,    0,    0,         TRANSITIONED, alC02014 to al082014
AL, 08, 2014101218,   , BEST,   0, 164N,  590W,  35, 1005, TS,  34, NEQ,   50,   40,    0,   50, 1013,  120,  30,  45,   0,   L,   0,    ,   0,   0,    GONZALO, D, 12, NEQ,   40,    0,    0,   40,         TRANSITIONED, alE02014 to al082014
AL, 08, 2014101300,   , BEST,   0, 165N,  597W,  40, 1002, TS,  34, NEQ,   50,   40,    0,   50, 1012,  140,  30,  50,   0,   L,   0,    ,   0,   0,    GONZALO, D, 
AL, 08, 2014101306,   , BEST,   0, 167N,  606W,  50, 1001, TS,  34, NEQ,   50,   40,    0,   50, 1010,  140,  25,  55,   0,   L,   0,    ,   0,   0,    GONZALO, D, 12, NEQ,   60,   45,   60,   60, 
AL, 08, 2014101306,   , BEST,   0, 167N,  606W,  50, 1001, TS,  50, NEQ,   20,    0,    0,   20, 1010,  140,  25,  55,   0,   L,   0,    ,   0,   0,    GONZALO, D, 12, NEQ,   60,   45,   60,   60, 
AL, 08, 2014101312,   , BEST,   0, 170N,  615W,  55,  992, TS,  34, NEQ,   60,   50,   20,   60, 1011,  130,  15,  60,   0,   L,   0,    ,   0,   0,    GONZALO, D, 12, NEQ,   60,   45,   60,   60, 
AL, 08, 2014101312,   , BEST,   0, 170N,  615W,  55,  992, TS,  50, NEQ,   30,    0,    0,   30, 1011,  130,  15,  60,   0,   L,   0,    ,   0,   0,    GONZALO, D, 12, NEQ,   60,   45,   60,   60, 
AL, 08, 2014101318,   , BEST,   0, 176N,  625W,  65,  988, HU,  34, NEQ,   90,   60,   40,   90, 1011,  130,  10,  75,   0,   L,   0,    ,   0,   0,    GONZALO, D, 12, NEQ,   90,   60,   60,   60, 
AL, 08, 2014101318,   , BEST,   0, 176N,  625W,  65,  988, HU,  50, NEQ,   30,   20,   20,   30, 1011,  130,  10,  75,   0,   L,   0,    ,   0,   0,    GONZALO, D, 12, NEQ,   90,   60,   60,   60, 
AL, 08, 2014101400,   , BEST,   0, 183N,  632W,  75,  984, HU,  34, NEQ,   90,   80,   50,   90, 1011,  130,  15,  85,   0,   L,   0,    ,   0,   0,    GONZALO, D, 12, NEQ,  120,   60,   60,  120, 
AL, 08, 2014101400,   , BEST,   0, 183N,  632W,  75,  984, HU,  50, NEQ,   40,   40,   20,   40, 1011,  130,  15,  85,   0,   L,   0,    ,   0,   0,    GONZALO, D, 12, NEQ,  120,   60,   60,  120, 
AL, 08, 2014101400,   , BEST,   0, 183N,  632W,  75,  984, HU,  64, NEQ,   20,   10,   10,   20, 1011,  130,  15,  85,   0,   L,   0,    ,   0,   0,    GONZALO, D, 12, NEQ,  120,   60,   60,  120, 
AL, 08, 2014101406,   , BEST,   0, 191N,  640W,  95,  976, HU,  34, NEQ,   90,   60,   50,   90, 1010,  120,  10, 115,   0,   L,   0,    ,   0,   0,    GONZALO, D, 12, NEQ,  120,   60,   60,  120, 
AL, 08, 2014101406,   , BEST,   0, 191N,  640W,  95,  976, HU,  50, NEQ,   40,   30,   30,   40, 1010,  120,  10, 115,   0,   L,   0,    ,   0,   0,    GONZALO, D, 12, NEQ,  120,   60,   60,  120, 
AL, 08, 2014101406,   , BEST,   0, 191N,  640W,  95,  976, HU,  64, NEQ,   20,   15,   10,   20, 1010,  120,  10, 115,   0,   L,   0,    ,   0,   0,    GONZALO, D, 12, NEQ,  120,   60,   60,  120, 
AL, 08, 2014101412,   , BEST,   0, 199N,  648W,  95,  973, HU,  34, NEQ,  100,   60,   50,  100, 1010,  120,  10, 115,   0,   L,   0,    ,   0,   0,    GONZALO, D, 12, NEQ,  150,   75,   75,  150, 
AL, 08, 2014101412,   , BEST,   0, 199N,  648W,  95,  973, HU,  50, NEQ,   40,   30,   30,   40, 1010,  120,  10, 115,   0,   L,   0,    ,   0,   0,    GONZALO, D, 12, NEQ,  150,   75,   75,  150, 
AL, 08, 2014101412,   , BEST,   0, 199N,  648W,  95,  973, HU,  64, NEQ,   20,   15,   10,   20, 1010,  120,  10, 115,   0,   L,   0,    ,   0,   0,    GONZALO, D, 12, NEQ,  150,   75,   75,  150, 
AL, 08, 2014101418,   , BEST,   0, 208N,  656W, 100,  971, HU,  34, NEQ,  100,   60,   50,  100, 1010,  120,  10, 120,   0,   L,   0,    ,   0,   0,    GONZALO, D, 12, NEQ,  150,   90,   90,  150, 
