AL, 11, 2012082306,   , BEST,   0, 135N,  177W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 
AL, 11, 2012082312,   , BEST,   0, 135N,  185W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 
AL, 11, 2012082318,   , BEST,   0, 135N,  193W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 
AL, 11, 2012082400,   , BEST,   0, 135N,  202W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 
AL, 11, 2012082406,   , BEST,   0, 129N,  212W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1010,  225, 100,   0,   0,   L,   0,    ,   0,   0,     INVEST, S, 
AL, 11, 2012082412,   , BEST,   0, 128N,  228W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1010,  225, 100,   0,   0,   L,   0,    ,   0,   0,     INVEST, S, 
AL, 11, 2012082418,   , BEST,   0, 129N,  247W,  25, 1006, DB,   0,    ,    0,    0,    0,    0, 1010,  280, 100,   0,   0,   L,   0,    ,   0,   0,     INVEST, S, 
AL, 11, 2012082500,   , BEST,   0, 130N,  265W,  25, 1006, DB,   0,    ,    0,    0,    0,    0, 1010,  240, 100,   0,   0,   L,   0,    ,   0,   0,     INVEST, S, 
AL, 11, 2012082506,   , BEST,   0, 130N,  284W,  25, 1006, DB,   0,    ,    0,    0,    0,    0, 1010,  240, 100,   0,   0,   L,   0,    ,   0,   0,     INVEST, S, 
AL, 11, 2012082512,   , BEST,   0, 130N,  300W,  25, 1006, DB,   0,    ,    0,    0,    0,    0, 1010,  240, 100,   0,   0,   L,   0,    ,   0,   0,     INVEST, S, 
AL, 11, 2012082518,   , BEST,   0, 139N,  320W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 1013,  240, 100,   0,   0,   L,   0,    ,   0,   0,     INVEST, S, 
AL, 11, 2012082600,   , BEST,   0, 152N,  332W,  30, 1009, DB,   0,    ,    0,    0,    0,    0, 1013,  240, 120,   0,   0,   L,   0,    ,   0,   0,     INVEST, S, 
AL, 11, 2012082606,   , BEST,   0, 162N,  342W,  30, 1009, DB,   0,    ,    0,    0,    0,    0, 1013,  240,  60,   0,   0,   L,   0,    ,   0,   0,     INVEST, S, 
AL, 11, 2012082612,   , BEST,   0, 170N,  351W,  30, 1009, DB,   0,    ,    0,    0,    0,    0, 1013,  250,  60,   0,   0,   L,   0,    ,   0,   0,     INVEST, S, 
AL, 11, 2012082618,   , BEST,   0, 176N,  365W,  30, 1009, DB,   0,    ,    0,    0,    0,    0, 1013,  250,  60,   0,   0,   L,   0,    ,   0,   0,     INVEST, S, 
AL, 11, 2012082700,   , BEST,   0, 184N,  380W,  30, 1011, DB,   0,    ,    0,    0,    0,    0, 1013,  180,  60,   0,   0,   L,   0,    ,   0,   0,     INVEST, S, 
AL, 11, 2012082706,   , BEST,   0, 192N,  395W,  30, 1011, DB,   0,    ,    0,    0,    0,    0, 1013,  180, 100,   0,   0,   L,   0,    ,   0,   0,     INVEST, S, 
AL, 11, 2012082712,   , BEST,   0, 202N,  404W,  30, 1011, DB,   0,    ,    0,    0,    0,    0, 1013,  180,  70,   0,   0,   L,   0,    ,   0,   0,     INVEST, S, 
AL, 11, 2012082718,   , BEST,   0, 206N,  415W,  25, 1011, DB,   0,    ,    0,    0,    0,    0, 1013,  180, 100,   0,   0,   L,   0,    ,   0,   0,     INVEST, S, 
AL, 11, 2012082800,   , BEST,   0, 212N,  422W,  30, 1011, DB,   0,    ,    0,    0,    0,    0, 1014,  180, 100,   0,   0,   L,   0,    ,   0,   0,     INVEST, S, 
AL, 11, 2012082806,   , BEST,   0, 219N,  427W,  30, 1011, DB,   0,    ,    0,    0,    0,    0, 
AL, 11, 2012082812,   , BEST,   0, 230N,  432W,  30, 1011, DB,   0,    ,    0,    0,    0,    0, 1014,  180, 100,   0,   0,   L,   0,    ,   0,   0,     INVEST, S, 
AL, 11, 2012082818,   , BEST,   0, 237N,  434W,  30, 1007, TD,   0,    ,    0,    0,    0,    0, 1014,  160, 100,  40,   0,   L,   0,    ,   0,   0,     ELEVEN, S, 
AL, 11, 2012082900,   , BEST,   0, 238N,  445W,  40, 1004, TS,  34, NEQ,   60,    0,    0,   40, 1014,  160,  60,  45,   0,   L,   0,    ,   0,   0,       KIRK, M, 
AL, 11, 2012082906,   , BEST,   0, 243N,  455W,  40, 1003, TS,  34, NEQ,   60,   30,    0,   40, 1014,  160,  60,  50,   0,   L,   0,    ,   0,   0,       KIRK, M, 
AL, 11, 2012082912,   , BEST,   0, 246N,  463W,  45, 1001, TS,  34, NEQ,   60,   30,    0,   40, 1014,  180,  60,  50,   0,   L,   0,    ,   0,   0,       KIRK, M, 12, NEQ,  120,   90,    0,   60
AL, 11, 2012082918,   , BEST,   0, 251N,  471W,  50,  998, TS,  34, NEQ,   70,   40,    0,   50, 1014,  160,  60,  55,   0,   L,   0,    ,   0,   0,       KIRK, M, 12, NEQ,  120,   90,    0,   60
AL, 11, 2012082918,   , BEST,   0, 251N,  471W,  50,  998, TS,  50, NEQ,   20,    0,    0,   20, 1014,  160,  60,  55,   0,   L,   0,    ,   0,   0,       KIRK, M, 12, NEQ,  120,   90,    0,   60
AL, 11, 2012083000,   , BEST,   0, 255N,  479W,  50,  995, TS,  34, NEQ,   70,   40,   20,   50, 1014,  150,  30,  60,   0,   L,   0,    ,   0,   0,       KIRK, M, 12, NEQ,  120,   90,    0,   90
AL, 11, 2012083000,   , BEST,   0, 255N,  479W,  50,  995, TS,  50, NEQ,   30,   20,    0,   30, 1014,  150,  30,  60,   0,   L,   0,    ,   0,   0,       KIRK, M, 12, NEQ,  120,   90,    0,   90
AL, 11, 2012083006,   , BEST,   0, 261N,  486W,  55,  992, TS,  34, NEQ,   50,   30,   20,   40, 1015,  150,  20,  60,   0,   L,   0,    ,   0,   0,       KIRK, M, 12, NEQ,  120,   90,    0,   90
AL, 11, 2012083006,   , BEST,   0, 261N,  486W,  55,  992, TS,  50, NEQ,   20,    0,    0,   20, 1015,  150,  20,  60,   0,   L,   0,    ,   0,   0,       KIRK, M, 12, NEQ,  120,   90,    0,   90
AL, 11, 2012083012,   , BEST,   0, 268N,  492W,  65,  989, TS,  34, NEQ,   60,   40,   30,   50, 1017,  140,  15,  75,   0,   L,   0,    ,   0,   0,       KIRK, D, 12, NEQ,  120,   90,    0,   90
AL, 11, 2012083012,   , BEST,   0, 268N,  492W,  65,  989, TS,  50, NEQ,   25,   20,   20,   25, 1017,  140,  15,  75,   0,   L,   0,    ,   0,   0,       KIRK, D, 12, NEQ,  120,   90,    0,   90
AL, 11, 2012083018,   , BEST,   0, 276N,  500W,  75,  984, HU,  34, NEQ,   60,   40,   30,   50, 1017,  130,  10,  90,   0,   L,   0,    ,   0,   0,       KIRK, D, 12, NEQ,  120,   90,    0,   60
AL, 11, 2012083018,   , BEST,   0, 276N,  500W,  75,  984, HU,  50, NEQ,   30,   25,   25,   30, 1017,  130,  10,  90,   0,   L,   0,    ,   0,   0,       KIRK, D, 12, NEQ,  120,   90,    0,   60
AL, 11, 2012083018,   , BEST,   0, 276N,  500W,  75,  984, HU,  64, NEQ,   15,   10,   10,   15, 1017,  130,  10,  90,   0,   L,   0,    ,   0,   0,       KIRK, D, 12, NEQ,  120,   90,    0,   60
AL, 11, 2012083100,   , BEST,   0, 285N,  505W,  80,  982, HU,  34, NEQ,   60,   40,   30,   50, 1017,  130,  10, 100,   0,   L,   0,    ,   0,   0,       KIRK, D, 12, NEQ,  120,   90,    0,   60
AL, 11, 2012083100,   , BEST,   0, 285N,  505W,  80,  982, HU,  50, NEQ,   30,   20,   20,   30, 1017,  130,  10, 100,   0,   L,   0,    ,   0,   0,       KIRK, D, 12, NEQ,  120,   90,    0,   60
AL, 11, 2012083100,   , BEST,   0, 285N,  505W,  80,  982, HU,  64, NEQ,   15,   10,   10,   15, 1017,  130,  10, 100,   0,   L,   0,    ,   0,   0,       KIRK, D, 12, NEQ,  120,   90,    0,   60
AL, 11, 2012083106,   , BEST,   0, 296N,  507W,  90,  970, HU,  34, NEQ,   60,   40,   30,   50, 1017,  130,  10, 110,   0,   L,   0,    ,   0,   0,       KIRK, D, 12, NEQ,  120,   90,    0,   60
AL, 11, 2012083106,   , BEST,   0, 296N,  507W,  90,  970, HU,  50, NEQ,   30,   20,   20,   30, 1017,  130,  10, 110,   0,   L,   0,    ,   0,   0,       KIRK, D, 12, NEQ,  120,   90,    0,   60
AL, 11, 2012083106,   , BEST,   0, 296N,  507W,  90,  970, HU,  64, NEQ,   15,   10,   10,   15, 1017,  130,  10, 110,   0,   L,   0,    ,   0,   0,       KIRK, D, 12, NEQ,  120,   90,    0,   60
AL, 11, 2012083112,   , BEST,   0, 306N,  509W,  85,  978, HU,  34, NEQ,   60,   50,   40,   50, 1016,  150,  10, 110,   0,   L,   0,    ,   0,   0,       KIRK, D, 12, NEQ,  120,   90,   30,   60
AL, 11, 2012083112,   , BEST,   0, 306N,  509W,  85,  978, HU,  50, NEQ,   30,   30,   20,   30, 1016,  150,  10, 110,   0,   L,   0,    ,   0,   0,       KIRK, D, 12, NEQ,  120,   90,   30,   60
AL, 11, 2012083112,   , BEST,   0, 306N,  509W,  85,  978, HU,  64, NEQ,   15,   15,   10,   15, 1016,  150,  10, 110,   0,   L,   0,    ,   0,   0,       KIRK, D, 12, NEQ,  120,   90,   30,   60
