EP, 01, 2015052618,   , BEST,   0,  86N, 1025W,  20, 1009, DB,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,    ,   0,    ,   0,   0,     INVEST,  , 
EP, 01, 2015052700,   , BEST,   0,  87N, 1037W,  20, 1009, DB,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,    ,   0,    ,   0,   0,     INVEST,  , 
EP, 01, 2015052706,   , BEST,   0,  90N, 1050W,  20, 1008, DB,   0,    ,    0,    0,    0,    0, 1009,  180,  60,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 01, 2015052712,   , BEST,   0,  93N, 1062W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1008,  180,  70,  35,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 01, 2015052718,   , BEST,   0,  97N, 1075W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1010,  180,  90,  35,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 01, 2015052800,   , BEST,   0, 102N, 1087W,  25, 1006, LO,   0,    ,    0,    0,    0,    0, 1009,  210, 100,  35,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 01, 2015052806,   , BEST,   0, 108N, 1099W,  30, 1005, TD,   0,    ,    0,    0,    0,    0, 1010,  200,  70,  40,   0,   E,   0,    ,   0,   0,        ONE, M,  0,    ,    0,    0,    0,    0, TRANSITIONED, epA22015 to ep012015, DISSIPATED, ep012015 to ep922015, TRANSITIONED, epB22015 to ep012015, DISSIPATED, ep012015 to ep922015, TRANSITIONED, epC22015 to ep012015, 
EP, 01, 2015052812,   , BEST,   0, 111N, 1110W,  40, 1002, TS,  34, NEQ,   50,   40,    0,   40, 1008,  200,  50,  45,   0,   E,   0,    ,   0,   0,        ONE, D, 12, NEQ,   60,    0,    0,    0, 
EP, 01, 2015052818,   , BEST,   0, 114N, 1121W,  50,  998, TS,  34, NEQ,   80,   70,   30,   50, 1010,  200,  30,  60,   0,   E,   0,    ,   0,   0,     ANDRES, D, 12, NEQ,   75,   50,    0,    0, 
EP, 01, 2015052818,   , BEST,   0, 114N, 1121W,  50,  998, TS,  50, NEQ,   30,    0,    0,    0, 1010,  200,  30,  60,   0,   E,   0,    ,   0,   0,     ANDRES, D, 12, NEQ,   75,   50,    0,    0, 
EP, 01, 2015052900,   , BEST,   0, 116N, 1129W,  60,  997, TS,  34, NEQ,   80,   70,   30,   50, 1009,  240,  20,  75,   0,   E,   0,    ,   0,   0,     ANDRES, D, 12, NEQ,   75,   50,    0,    0, 
EP, 01, 2015052900,   , BEST,   0, 116N, 1129W,  60,  997, TS,  50, NEQ,   30,    0,    0,    0, 1009,  240,  20,  75,   0,   E,   0,    ,   0,   0,     ANDRES, D, 12, NEQ,   75,   50,    0,    0, 
EP, 01, 2015052906,   , BEST,   0, 119N, 1136W,  60,  994, TS,  34, NEQ,   80,  100,   30,   40, 1010,  210,  30,  75,   0,   E,   0,    ,   0,   0,     ANDRES, D, 12, NEQ,   90,   60,   30,   60, 
EP, 01, 2015052906,   , BEST,   0, 119N, 1136W,  60,  994, TS,  50, NEQ,   40,   30,    0,   20, 1010,  210,  30,  75,   0,   E,   0,    ,   0,   0,     ANDRES, D, 12, NEQ,   90,   60,   30,   60, 
EP, 01, 2015052912,   , BEST,   0, 122N, 1141W,  60,  994, TS,  34, NEQ,   80,  100,   30,   40, 1010,  240,  25,  75,   0,   E,   0,    ,   0,   0,     ANDRES, D, 12, NEQ,  120,  120,   60,  120, 
EP, 01, 2015052912,   , BEST,   0, 122N, 1141W,  60,  994, TS,  50, NEQ,   40,   30,    0,   20, 1010,  240,  25,  75,   0,   E,   0,    ,   0,   0,     ANDRES, D, 12, NEQ,  120,  120,   60,  120, 
EP, 01, 2015052918,   , BEST,   0, 126N, 1146W,  65,  990, HU,  34, NEQ,   80,  100,   50,   60, 1008,  200,  20,  80,   0,   E,   0,    ,   0,   0,     ANDRES, D, 12, NEQ,  120,  120,   60,  120, 
EP, 01, 2015052918,   , BEST,   0, 126N, 1146W,  65,  990, HU,  50, NEQ,   40,   30,   20,   20, 1008,  200,  20,  80,   0,   E,   0,    ,   0,   0,     ANDRES, D, 12, NEQ,  120,  120,   60,  120, 
