EP, 03, 2013062012,   , BEST,   0, 112N,  949W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 03, 2013062018,   , BEST,   0, 115N,  960W,  20, 1008, DB,   0,    ,    0,    0,    0,    0, 
EP, 03, 2013062100,   , BEST,   0, 117N,  975W,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
EP, 03, 2013062106,   , BEST,   0, 118N,  985W,  20, 1007, LO,   0,    ,    0,    0,    0,    0, 
EP, 03, 2013062112,   , BEST,   0, 119N,  994W,  20, 1007, LO,   0,    ,    0,    0,    0,    0, 1008,  150,  90,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 03, 2013062118,   , BEST,   0, 120N, 1003W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1008,  150,  90,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 03, 2013062200,   , BEST,   0, 121N, 1012W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1009,  150,  90,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 03, 2013062206,   , BEST,   0, 122N, 1021W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1009,  150,  90,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 03, 2013062212,   , BEST,   0, 120N, 1030W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1009,  150,  60,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 03, 2013062218,   , BEST,   0, 120N, 1035W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1009,  150,  60,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 03, 2013062300,   , BEST,   0, 120N, 1030W,  30, 1006, LO,   0,    ,    0,    0,    0,    0, 1008,  175, 120,  40,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 03, 2013062306,   , BEST,   0, 120N, 1034W,  30, 1006, LO,   0,    ,    0,    0,    0,    0, 1008,  240, 110,  40,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 03, 2013062312,   , BEST,   0, 118N, 1036W,  30, 1005, TD,   0,    ,    0,    0,    0,    0, 1008,  240, 100,  40,   0,   E,   0,    ,   0,   0,      THREE, M, 
EP, 03, 2013062318,   , BEST,   0, 120N, 1037W,  30, 1005, TD,   0,    ,    0,    0,    0,    0, 1008,  240,  90,  40,   0,   E,   0,    ,   0,   0,      THREE, M, 
EP, 03, 2013062400,   , BEST,   0, 122N, 1041W,  35, 1003, TS,  34, NEQ,    0,   90,    0,    0, 1008,  240,  90,  40,   0,   E,   0,    ,   0,   0,      THREE, M, 
EP, 03, 2013062406,   , BEST,   0, 127N, 1047W,  40,  998, TS,  34, NEQ,   90,   90,    0,    0, 1008,  240,  90,  45,   0,   E,   0,    ,   0,   0,      COSME, D, 
EP, 03, 2013062412,   , BEST,   0, 138N, 1055W,  45,  995, TS,  34, NEQ,  150,  150,    0,    0, 1008,  300,  80,   0,   0,   E,   0,    ,   0,   0,      COSME, D, 
EP, 03, 2013062418,   , BEST,   0, 147N, 1065W,  50,  994, TS,  34, NEQ,  150,  150,    0,    0, 1008,  310,  70,  60,   0,   E,   0,    ,   0,   0,      COSME, D, 12, NEQ,  120,  240,  240,   30
EP, 03, 2013062418,   , BEST,   0, 147N, 1065W,  50,  994, TS,  50, NEQ,   30,    0,    0,    0, 1008,  310,  70,  60,   0,   E,   0,    ,   0,   0,      COSME, D, 12, NEQ,  120,  240,  240,   30
EP, 03, 2013062500,   , BEST,   0, 156N, 1075W,  55,  991, TS,  34, NEQ,  150,  150,    0,  150, 1009,  300,  30,  65,   0,   E,   0,    ,   0,   0,      COSME, D, 12, NEQ,  120,  240,  300,  120
EP, 03, 2013062500,   , BEST,   0, 156N, 1075W,  55,  991, TS,  50, NEQ,   30,   30,    0,    0, 1009,  300,  30,  65,   0,   E,   0,    ,   0,   0,      COSME, D, 12, NEQ,  120,  240,  300,  120
EP, 03, 2013062506,   , BEST,   0, 165N, 1089W,  60,  991, TS,  34, NEQ,  150,  150,    0,  150, 1009,  300,  30,  65,   0,   E,   0,    ,   0,   0,      COSME, D, 12, NEQ,  180,  300,  360,  120
EP, 03, 2013062506,   , BEST,   0, 165N, 1089W,  60,  991, TS,  50, NEQ,   30,   30,    0,    0, 1009,  300,  30,  65,   0,   E,   0,    ,   0,   0,      COSME, D, 12, NEQ,  180,  300,  360,  120
EP, 03, 2013062512,   , BEST,   0, 172N, 1102W,  65,  988, HU,  34, NEQ,  150,  150,   30,  120, 1009,  300,  20,  75,   0,   E,   0,    ,   0,   0,      COSME, D, 12, NEQ,  240,  540,  420,  150
EP, 03, 2013062512,   , BEST,   0, 172N, 1102W,  65,  988, HU,  50, NEQ,   30,   30,   20,   20, 1009,  300,  20,  75,   0,   E,   0,    ,   0,   0,      COSME, D, 12, NEQ,  240,  540,  420,  150
EP, 03, 2013062512,   , BEST,   0, 172N, 1102W,  65,  988, HU,  64, NEQ,   15,    0,    0,    0, 1009,  300,  20,  75,   0,   E,   0,    ,   0,   0,      COSME, D, 12, NEQ,  240,  540,  420,  150
EP, 03, 2013062518,   , BEST,   0, 175N, 1115W,  70,  984, HU,  34, NEQ,  150,  120,   60,  105, 1009,  300,  20,  85,   0,   E,   0,    ,   0,   0,      COSME, D, 12, NEQ,  330,  540,  480,  180
EP, 03, 2013062518,   , BEST,   0, 175N, 1115W,  70,  984, HU,  50, NEQ,   50,   40,   30,   40, 1009,  300,  20,  85,   0,   E,   0,    ,   0,   0,      COSME, D, 12, NEQ,  330,  540,  480,  180
EP, 03, 2013062518,   , BEST,   0, 175N, 1115W,  70,  984, HU,  64, NEQ,   30,   20,    0,    0, 1009,  300,  20,  85,   0,   E,   0,    ,   0,   0,      COSME, D, 12, NEQ,  330,  540,  480,  180
EP, 03, 2013062600,   , BEST,   0, 178N, 1128W,  75,  981, HU,  34, NEQ,  150,  120,   60,  100, 1009,  300,  15,  90,   0,   E,   0,    ,   0,   0,      COSME, D, 12, NEQ,  330,  540,  480,  180
EP, 03, 2013062600,   , BEST,   0, 178N, 1128W,  75,  981, HU,  50, NEQ,   50,   40,   30,   40, 1009,  300,  15,  90,   0,   E,   0,    ,   0,   0,      COSME, D, 12, NEQ,  330,  540,  480,  180
EP, 03, 2013062600,   , BEST,   0, 178N, 1128W,  75,  981, HU,  64, NEQ,   30,   20,    0,   20, 1009,  300,  15,  90,   0,   E,   0,    ,   0,   0,      COSME, D, 12, NEQ,  330,  540,  480,  180
