EP, 03, 2018060712,   , BEST,   0, 113N,  933W,  20, 1008, DB,   0,    ,    0,    0,    0,    0, 1010,  180,  70,   0,   0,    ,   0,    ,   0,   0,     INVEST,  , 
EP, 03, 2018060718,   , BEST,   0, 113N,  937W,  20, 1008, DB,   0,    ,    0,    0,    0,    0, 1010,  180,  70,   0,   0,    ,   0,    ,   0,   0,     INVEST,  , 
EP, 03, 2018060800,   , BEST,   0, 113N,  942W,  20, 1008, DB,   0,    ,    0,    0,    0,    0, 1010,  180,  70,   0,   0,    ,   0,    ,   0,   0,     INVEST,  , 
EP, 03, 2018060806,   , BEST,   0, 113N,  948W,  20, 1008, DB,   0,    ,    0,    0,    0,    0, 1010,  180,  70,   0,   0,    ,   0,    ,   0,   0,     INVEST,  , 
EP, 03, 2018060812,   , BEST,   0, 113N,  956W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1010,  180, 100,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 03, 2018060818,   , BEST,   0, 114N,  970W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1010,  180, 100,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 03, 2018060900,   , BEST,   0, 115N,  986W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1009,  210, 150,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 03, 2018060906,   , BEST,   0, 116N,  997W,  25, 1008, LO,   0,    ,    0,    0,    0,    0, 1010,  210,  75,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 03, 2018060912,   , BEST,   0, 119N, 1006W,  30, 1007, LO,   0,    ,    0,    0,    0,    0, 1010,  210,  75,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 03, 2018060918,   , BEST,   0, 122N, 1014W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  210,  75,  40,   0,   E,   0,    ,   0,   0,      THREE, S,  0,    ,    0,    0,    0,    0, TRANSITIONED, epA22018 to ep032018, 
EP, 03, 2018061000,   , BEST,   0, 132N, 1018W,  35, 1003, TS,  34, NEQ,   50,   50,   50,   50, 1010,  210,  50,  45,   0,   E,   0,    ,   0,   0,        BUD, D, 
EP, 03, 2018061006,   , BEST,   0, 137N, 1021W,  45, 1000, TS,  34, NEQ,   60,   50,   50,   60, 1010,  180,  50,  55,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  120,  120,   90,    0, 
EP, 03, 2018061012,   , BEST,   0, 145N, 1030W,  55,  994, TS,  34, NEQ,   60,   50,   50,   60, 1010,  180,  20,  65,   0,   E,   0,    ,   0,   0,        BUD, D, 
EP, 03, 2018061012,   , BEST,   0, 145N, 1030W,  55,  994, TS,  50, NEQ,   20,   20,    0,   20, 1010,  180,  20,  65,   0,   E,   0,    ,   0,   0,        BUD, D, 
EP, 03, 2018061018,   , BEST,   0, 151N, 1038W,  65,  987, HU,  34, NEQ,  125,  125,   60,   60, 1010,  180,  20,  80,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  150,  150,  120,  120, 
EP, 03, 2018061018,   , BEST,   0, 151N, 1038W,  65,  987, HU,  50, NEQ,   50,   40,    0,   20, 1010,  180,  20,  80,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  150,  150,  120,  120, 
EP, 03, 2018061018,   , BEST,   0, 151N, 1038W,  65,  987, HU,  64, NEQ,   20,   15,    0,    0, 1010,  180,  20,  80,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  150,  150,  120,  120, 
EP, 03, 2018061100,   , BEST,   0, 157N, 1046W,  70,  984, HU,  34, NEQ,  120,  120,   70,   90, 1009,  180,  25,  85,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  180,  180,  120,  150, 
EP, 03, 2018061100,   , BEST,   0, 157N, 1046W,  70,  984, HU,  50, NEQ,   60,   60,   30,   40, 1009,  180,  25,  85,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  180,  180,  120,  150, 
EP, 03, 2018061100,   , BEST,   0, 157N, 1046W,  70,  984, HU,  64, NEQ,   30,   30,    0,    0, 1009,  180,  25,  85,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  180,  180,  120,  150, 
EP, 03, 2018061106,   , BEST,   0, 162N, 1057W,  90,  970, HU,  34, NEQ,  110,  100,   60,   80, 1008,  180,  20, 110,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  180,  180,  150,  150, 
EP, 03, 2018061106,   , BEST,   0, 162N, 1057W,  90,  970, HU,  50, NEQ,   50,   50,   30,   30, 1008,  180,  20, 110,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  180,  180,  150,  150, 
