EP, 07, 2013072900,   , BEST,   0, 100N, 1070W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 07, 2013072906,   , BEST,   0, 102N, 1081W,  20, 1010, DB,   0,    ,    0,    0,    0,    0, 
EP, 07, 2013072912,   , BEST,   0, 104N, 1092W,  20, 1010, DB,   0,    ,    0,    0,    0,    0, 
EP, 07, 2013072918,   , BEST,   0, 106N, 1103W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 07, 2013073000,   , BEST,   0, 112N, 1116W,  20, 1009, LO,   0,    ,    0,    0,    0,    0, 1011,  150,  80,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 07, 2013073006,   , BEST,   0, 117N, 1129W,  20, 1009, LO,   0,    ,    0,    0,    0,    0, 1011,  150,  70,   0,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 07, 2013073012,   , BEST,   0, 121N, 1142W,  25, 1008, TD,   0,    ,    0,    0,    0,    0, 1011,  120,  50,  35,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 07, 2013073018,   , BEST,   0, 125N, 1156W,  35, 1005, TS,  34, NEQ,   30,   20,    0,   30, 1011,  100,  30,  40,   0,   E,   0,    ,   0,   0,      SEVEN, M, 12, NEQ,   30,    0,   20,   30
EP, 07, 2013073100,   , BEST,   0, 129N, 1169W,  40, 1002, TS,  34, NEQ,   30,   20,    0,   30, 1011,  100,  20,  50,   0,   E,   0,    ,   0,   0,        GIL, D, 12, NEQ,   30,    0,   20,   30
EP, 07, 2013073106,   , BEST,   0, 131N, 1181W,  45, 1001, TS,  34, NEQ,   80,   30,    0,   80, 1013,  120,  20,  55,   0,   E,   0,    ,   0,   0,        GIL, D, 12, NEQ,   45,    0,   20,   30
EP, 07, 2013073112,   , BEST,   0, 134N, 1192W,  50, 1000, TS,  34, NEQ,   80,   30,    0,   80, 1013,  120,  30,  60,   0,   E,   0,    ,   0,   0,        GIL, D, 12, NEQ,   90,   15,   30,   90
EP, 07, 2013073112,   , BEST,   0, 134N, 1192W,  50, 1000, TS,  50, NEQ,   30,    0,    0,   30, 1013,  120,  30,  60,   0,   E,   0,    ,   0,   0,        GIL, D, 12, NEQ,   90,   15,   30,   90
EP, 07, 2013073118,   , BEST,   0, 136N, 1202W,  65,  992, HU,  34, NEQ,   80,   30,    0,   80, 1013,  120,  30,  80,   0,   E,   0,    ,   0,   0,        GIL, D, 12, NEQ,  120,   90,   60,  120
EP, 07, 2013073118,   , BEST,   0, 136N, 1202W,  65,  992, HU,  50, NEQ,   30,    0,    0,   30, 1013,  120,  30,  80,   0,   E,   0,    ,   0,   0,        GIL, D, 12, NEQ,  120,   90,   60,  120
EP, 07, 2013073118,   , BEST,   0, 136N, 1202W,  65,  992, HU,  64, NEQ,   10,    0,    0,   10, 1013,  120,  30,  80,   0,   E,   0,    ,   0,   0,        GIL, D, 12, NEQ,  120,   90,   60,  120
EP, 07, 2013080100,   , BEST,   0, 139N, 1212W,  70,  990, HU,  34, NEQ,   50,   30,   30,   50, 1013,  120,  10,  85,   0,   E,   0,    ,   0,   0,        GIL, D, 12, NEQ,  150,  120,   90,  150
EP, 07, 2013080100,   , BEST,   0, 139N, 1212W,  70,  990, HU,  50, NEQ,   30,   20,   20,   30, 1013,  120,  10,  85,   0,   E,   0,    ,   0,   0,        GIL, D, 12, NEQ,  150,  120,   90,  150
EP, 07, 2013080100,   , BEST,   0, 139N, 1212W,  70,  990, HU,  64, NEQ,   10,    0,    0,   10, 1013,  120,  10,  85,   0,   E,   0,    ,   0,   0,        GIL, D, 12, NEQ,  150,  120,   90,  150
