EP, 09, 2014072918,   , BEST,   0,  98N, 1139W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1011,  150,  75,   0,   0, 
EP, 09, 2014073000,   , BEST,   0, 100N, 1153W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1011,  150,  75,   0,   0, 
EP, 09, 2014073006,   , BEST,   0, 102N, 1167W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1011,  150,  75,   0,   0, 
EP, 09, 2014073012,   , BEST,   0, 104N, 1180W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1011,  150,  75,   0,   0, 
EP, 09, 2014073018,   , BEST,   0, 107N, 1188W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1011,  150,  75,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 09, 2014073100,   , BEST,   0, 111N, 1195W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1011,  150,  75,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 09, 2014073106,   , BEST,   0, 116N, 1202W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 1011,  150,  75,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 09, 2014073112,   , BEST,   0, 121N, 1210W,  25, 1009, LO,   0,    ,    0,    0,    0,    0, 1011,  150,  75,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 09, 2014073118,   , BEST,   0, 126N, 1224W,  35, 1006, TS,  34, NEQ,   50,   60,    0,   50, 1012,  150,  20,  45,   0,   E,   0,    ,   0,   0,     ISELLE, M,  0,    ,    0,    0,    0,    0,         TRANSITIONED, epB52014 to ep092014
EP, 09, 2014080100,   , BEST,   0, 130N, 1234W,  40, 1004, TS,  34, NEQ,   50,   60,    0,   50, 1012,  150,  20,  45,   0,   E,   0,    ,   0,   0,     ISELLE, M, 
EP, 09, 2014080106,   , BEST,   0, 134N, 1243W,  50, 1002, TS,  34, NEQ,   80,   90,   50,   80, 1012,  150,  25,  60,   0,   E,   0,    ,   0,   0,     ISELLE, M, 12, NEQ,  120,  120,    0,    0, 
EP, 09, 2014080106,   , BEST,   0, 134N, 1243W,  50, 1002, TS,  50, NEQ,   40,   30,    0,    0, 1012,  150,  25,  60,   0,   E,   0,    ,   0,   0,     ISELLE, M, 12, NEQ,  120,  120,    0,    0, 
EP, 09, 2014080112,   , BEST,   0, 138N, 1252W,  55,  998, TS,  34, NEQ,   90,   80,   70,   50, 1010,  200,  40,  65,   0,   E,   0,    ,   0,   0,     ISELLE, M, 12, NEQ,  240,  240,    0,  120, 
EP, 09, 2014080112,   , BEST,   0, 138N, 1252W,  55,  998, TS,  50, NEQ,   50,   30,    0,    0, 1010,  200,  40,  65,   0,   E,   0,    ,   0,   0,     ISELLE, M, 12, NEQ,  240,  240,    0,  120, 
EP, 09, 2014080118,   , BEST,   0, 142N, 1260W,  60,  995, TS,  34, NEQ,   80,   90,   40,   70, 1011,  160,  30,  65,   0,   E,   0,    ,   0,   0,     ISELLE, M, 12, NEQ,  240,  240,  120,  120, 
EP, 09, 2014080118,   , BEST,   0, 142N, 1260W,  60,  995, TS,  50, NEQ,   30,   20,    0,   40, 1011,  160,  30,  65,   0,   E,   0,    ,   0,   0,     ISELLE, M, 12, NEQ,  240,  240,  120,  120, 
EP, 09, 2014080200,   , BEST,   0, 146N, 1269W,  65,  992, HU,  34, NEQ,   80,   90,   40,   70, 1009,  170,  15,  80,   0,   E,   0,    ,   0,   0,     ISELLE, M, 12, NEQ,  210,  210,  120,  120, 
EP, 09, 2014080200,   , BEST,   0, 146N, 1269W,  65,  992, HU,  50, NEQ,   30,   20,    0,   40, 1009,  170,  15,  80,   0,   E,   0,    ,   0,   0,     ISELLE, M, 12, NEQ,  210,  210,  120,  120, 
EP, 09, 2014080200,   , BEST,   0, 146N, 1269W,  65,  992, HU,  64, NEQ,   15,   10,    0,   15, 1009,  170,  15,  80,   0,   E,   0,    ,   0,   0,     ISELLE, M, 12, NEQ,  210,  210,  120,  120, 
EP, 09, 2014080206,   , BEST,   0, 148N, 1279W,  70,  988, HU,  34, NEQ,   70,   90,   50,   70, 1010,  170,  15,  85,   0,   E,   0,    ,   0,   0,     ISELLE, D, 12, NEQ,  210,  210,  120,  150, 
EP, 09, 2014080206,   , BEST,   0, 148N, 1279W,  70,  988, HU,  50, NEQ,   30,   30,   20,   40, 1010,  170,  15,  85,   0,   E,   0,    ,   0,   0,     ISELLE, D, 12, NEQ,  210,  210,  120,  150, 
