EP, 10, 2014080100,   , BEST,   0, 112N, 1080W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 10, 2014080106,   , BEST,   0, 113N, 1089W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 10, 2014080112,   , BEST,   0, 116N, 1096W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1010,  150,  60,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 10, 2014080118,   , BEST,   0, 120N, 1104W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1012,  150,  60,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 10, 2014080200,   , BEST,   0, 125N, 1112W,  25, 1008, DB,   0,    ,    0,    0,    0,    0, 1010,  150,  80,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 10, 2014080206,   , BEST,   0, 125N, 1112W,  25, 1008, DB,   0,    ,    0,    0,    0,    0, 1010,  150,  80,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 10, 2014080212,   , BEST,   0, 132N, 1119W,  25, 1008, DB,   0,    ,    0,    0,    0,    0, 1010,  150,  80,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 10, 2014080218,   , BEST,   0, 134N, 1125W,  25, 1008, LO,   0,    ,    0,    0,    0,    0, 1010,  150,  80,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 10, 2014080300,   , BEST,   0, 137N, 1132W,  25, 1008, LO,   0,    ,    0,    0,    0,    0, 1010,  150,  90,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 10, 2014080306,   , BEST,   0, 138N, 1140W,  25, 1008, LO,   0,    ,    0,    0,    0,    0, 1010,  150,  90,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 10, 2014080312,   , BEST,   0, 138N, 1148W,  25, 1008, LO,   0,    ,    0,    0,    0,    0, 1010,  150,  90,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 10, 2014080318,   , BEST,   0, 137N, 1156W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1010,  160,  90,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 10, 2014080400,   , BEST,   0, 135N, 1166W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  220,  70,   0,   0,   E,   0,    ,   0,   0,        TEN, S,  0,    ,    0,    0,    0,    0,         TRANSITIONED, epB72014 to ep102014
EP, 10, 2014080406,   , BEST,   0, 135N, 1177W,  35, 1005, TS,  34, NEQ,    0,    0,    0,   60, 1010,  220,  50,  45,   0,   E,   0,    ,   0,   0,        TEN, M, 
EP, 10, 2014080412,   , BEST,   0, 135N, 1192W,  40, 1004, TS,  34, NEQ,    0,    0,    0,   60, 1010,  270,  40,  50,   0,   E,   0,    ,   0,   0,      JULIO, M, 
EP, 10, 2014080418,   , BEST,   0, 135N, 1207W,  45, 1002, TS,  34, NEQ,    0,   30,   60,   70, 1010,  270,  30,  60,   0,   E,   0,    ,   0,   0,      JULIO, M, 12, NEQ,   45,    0,    0,   60, 
EP, 10, 2014080500,   , BEST,   0, 135N, 1219W,  50, 1000, TS,  34, NEQ,   20,   30,   60,   90, 1010,  270,  30,  60,   0,   E,   0,    ,   0,   0,      JULIO, M, 12, NEQ,   45,    0,    0,   60, 
EP, 10, 2014080500,   , BEST,   0, 135N, 1219W,  50, 1000, TS,  50, NEQ,    0,    0,   20,   30, 1010,  270,  30,  60,   0,   E,   0,    ,   0,   0,      JULIO, M, 12, NEQ,   45,    0,    0,   60, 
EP, 10, 2014080506,   , BEST,   0, 136N, 1230W,  50, 1000, TS,  34, NEQ,   20,   30,   60,   90, 1010,  270,  30,  60,   0,   E,   0,    ,   0,   0,      JULIO, M, 12, NEQ,   90,   90,   90,   60, 
EP, 10, 2014080506,   , BEST,   0, 136N, 1230W,  50, 1000, TS,  50, NEQ,    0,    0,   20,   30, 1010,  270,  30,  60,   0,   E,   0,    ,   0,   0,      JULIO, M, 12, NEQ,   90,   90,   90,   60, 
EP, 10, 2014080512,   , BEST,   0, 138N, 1240W,  50, 1000, TS,  34, NEQ,   20,   30,   60,   90, 1010,  270,  30,  60,   0,   E,   0,    ,   0,   0,      JULIO, M, 12, NEQ,   90,   60,   60,   90, 
EP, 10, 2014080512,   , BEST,   0, 138N, 1240W,  50, 1000, TS,  50, NEQ,    0,    0,   20,   30, 1010,  270,  30,  60,   0,   E,   0,    ,   0,   0,      JULIO, M, 12, NEQ,   90,   60,   60,   90, 
EP, 10, 2014080518,   , BEST,   0, 140N, 1253W,  50, 1000, TS,  34, NEQ,   20,   30,   60,   90, 1010,  270,  30,  60,   0,   E,   0,    ,   0,   0,      JULIO, M, 12, NEQ,   90,   60,   60,   90, 
EP, 10, 2014080518,   , BEST,   0, 140N, 1253W,  50, 1000, TS,  50, NEQ,    0,    0,   20,   30, 1010,  270,  30,  60,   0,   E,   0,    ,   0,   0,      JULIO, M, 12, NEQ,   90,   60,   60,   90, 
EP, 10, 2014080600,   , BEST,   0, 143N, 1268W,  60,  992, TS,  34, NEQ,   20,   30,   60,   90, 1010,  270,  25,  65,   0,   E,   0,    ,   0,   0,      JULIO, M, 12, NEQ,   90,   60,   60,  120, 
EP, 10, 2014080600,   , BEST,   0, 143N, 1268W,  60,  992, TS,  50, NEQ,    0,    0,   20,   30, 1010,  270,  25,  65,   0,   E,   0,    ,   0,   0,      JULIO, M, 12, NEQ,   90,   60,   60,  120, 
EP, 10, 2014080606,   , BEST,   0, 147N, 1282W,  65,  989, HU,  34, NEQ,   50,   50,   60,   90, 1010,  210,  15,  80,   0,   E,   0,    ,   0,   0,      JULIO, D, 12, NEQ,  120,   60,   60,  120, 
EP, 10, 2014080606,   , BEST,   0, 147N, 1282W,  65,  989, HU,  50, NEQ,   30,   30,   30,   30, 1010,  210,  15,  80,   0,   E,   0,    ,   0,   0,      JULIO, D, 12, NEQ,  120,   60,   60,  120, 
