EP, 11, 2014081000,   , BEST,   0, 113N,  905W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 11, 2014081006,   , BEST,   0, 117N,  920W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 11, 2014081012,   , BEST,   0, 120N,  935W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 11, 2014081018,   , BEST,   0, 123N,  953W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1011,  120,  90,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 11, 2014081100,   , BEST,   0, 125N,  969W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1011,  120,  90,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 11, 2014081106,   , BEST,   0, 128N,  983W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1011,  120,  90,   0,   0, 
EP, 11, 2014081112,   , BEST,   0, 131N,  996W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1011,  150,  90,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 11, 2014081118,   , BEST,   0, 134N, 1007W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 1011,  150,  90,   0,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 11, 2014081200,   , BEST,   0, 138N, 1019W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 1011,  150,  90,   0,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 11, 2014081206,   , BEST,   0, 144N, 1034W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 1011,  150,  80,   0,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 11, 2014081212,   , BEST,   0, 151N, 1050W,  25, 1008, LO,   0,    ,    0,    0,    0,    0, 1011,  150,  80,   0,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 11, 2014081218,   , BEST,   0, 158N, 1064W,  25, 1008, LO,   0,    ,    0,    0,    0,    0, 1011,  150,  70,  35,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 11, 2014081300,   , BEST,   0, 164N, 1078W,  25, 1007, TD,   0,    ,    0,    0,    0,    0, 1010,  150,  70,   0,   0,   E,   0,    ,   0,   0,     ELEVEN, M,  0,    ,    0,    0,    0,    0,         TRANSITIONED, epD92014 to ep112014
EP, 11, 2014081306,   , BEST,   0, 169N, 1091W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  150,  40,  40,   0,   E,   0,    ,   0,   0,     ELEVEN, M, 
EP, 11, 2014081312,   , BEST,   0, 171N, 1106W,  35, 1005, TS,  34, NEQ,   30,    0,    0,   30, 1010,  150,  30,  45,   0,   E,   0,    ,   0,   0,     ELEVEN, M, 
EP, 11, 2014081318,   , BEST,   0, 172N, 1121W,  40, 1004, TS,  34, NEQ,   30,   30,   20,   30, 1010,  150,  15,  50,   0,   E,   0,    ,   0,   0,     KARINA, M, 
EP, 11, 2014081400,   , BEST,   0, 172N, 1134W,  45, 1002, TS,  34, NEQ,   30,   30,   20,   30, 1008,  170,  15,  55,   0,   E,   0,    ,   0,   0,     KARINA, M, 12, NEQ,   60,    0,    0,   60, 
EP, 11, 2014081406,   , BEST,   0, 171N, 1145W,  50, 1000, TS,  34, NEQ,   30,   30,   20,   30, 1008,  170,  15,  55,   0,   E,   0,    ,   0,   0,     KARINA, M, 12, NEQ,   60,    0,    0,   60, 
EP, 11, 2014081406,   , BEST,   0, 171N, 1145W,  50, 1000, TS,  50, NEQ,    0,    0,   10,   10, 1008,  170,  15,  55,   0,   E,   0,    ,   0,   0,     KARINA, M, 12, NEQ,   60,    0,    0,   60, 
EP, 11, 2014081412,   , BEST,   0, 171N, 1156W,  55,  995, TS,  34, NEQ,   30,   30,   40,   40, 1008,  170,  10,  65,   0,   E,   0,    ,   0,   0,     KARINA, D, 12, NEQ,   75,   30,   30,   60, 
EP, 11, 2014081412,   , BEST,   0, 171N, 1156W,  55,  995, TS,  50, NEQ,    0,    0,   20,   20, 1008,  170,  10,  65,   0,   E,   0,    ,   0,   0,     KARINA, D, 12, NEQ,   75,   30,   30,   60, 
EP, 11, 2014081418,   , BEST,   0, 170N, 1167W,  65,  989, HU,  34, NEQ,   40,   40,   50,   50, 1010,  200,  10,  80,   0,   E,   0,    ,   0,   0,     KARINA, D, 12, NEQ,   90,   30,   60,   75, 
EP, 11, 2014081418,   , BEST,   0, 170N, 1167W,  65,  989, HU,  50, NEQ,   20,   20,   20,   20, 1010,  200,  10,  80,   0,   E,   0,    ,   0,   0,     KARINA, D, 12, NEQ,   90,   30,   60,   75, 
EP, 11, 2014081418,   , BEST,   0, 170N, 1167W,  65,  989, HU,  64, NEQ,   10,    0,    0,   10, 1010,  200,  10,  80,   0,   E,   0,    ,   0,   0,     KARINA, D, 12, NEQ,   90,   30,   60,   75, 
EP, 11, 2014081500,   , BEST,   0, 170N, 1178W,  65,  989, HU,  34, NEQ,   40,   40,   50,   50, 1008,  240,  10,  80,   0,   E,   0,    ,   0,   0,     KARINA, D, 12, NEQ,   90,   30,   60,   90, 
EP, 11, 2014081500,   , BEST,   0, 170N, 1178W,  65,  989, HU,  50, NEQ,   20,   20,   20,   20, 1008,  240,  10,  80,   0,   E,   0,    ,   0,   0,     KARINA, D, 12, NEQ,   90,   30,   60,   90, 
EP, 11, 2014081500,   , BEST,   0, 170N, 1178W,  65,  989, HU,  64, NEQ,   10,    0,    0,   10, 1008,  240,  10,  80,   0,   E,   0,    ,   0,   0,     KARINA, D, 12, NEQ,   90,   30,   60,   90, 
EP, 11, 2014081506,   , BEST,   0, 171N, 1186W,  60,  990, TS,  34, NEQ,   40,   40,   50,   50, 1008,  240,  10,  75,   0,   E,   0,    ,   0,   0,     KARINA, M, 12, NEQ,  120,   45,   60,   90, 
EP, 11, 2014081506,   , BEST,   0, 171N, 1186W,  60,  990, TS,  50, NEQ,   20,   20,   20,   20, 1008,  240,  10,  75,   0,   E,   0,    ,   0,   0,     KARINA, M, 12, NEQ,  120,   45,   60,   90, 
EP, 11, 2014081512,   , BEST,   0, 173N, 1197W,  55,  995, TS,  34, NEQ,   50,   50,   50,   50, 1007,  210,  20,  65,   0,   E,   0,    ,   0,   0,     KARINA, M, 12, NEQ,  100,   60,   60,  100, 
EP, 11, 2014081512,   , BEST,   0, 173N, 1197W,  55,  995, TS,  50, NEQ,   20,   20,   20,   20, 1007,  210,  20,  65,   0,   E,   0,    ,   0,   0,     KARINA, M, 12, NEQ,  100,   60,   60,  100, 
EP, 11, 2014081518,   , BEST,   0, 175N, 1207W,  50,  998, TS,  34, NEQ,   50,   50,   50,   50, 1007,  210,  20,  60,   0,   E,   0,    ,   0,   0,     KARINA, M, 12, NEQ,  120,   60,   60,  100, 
EP, 11, 2014081518,   , BEST,   0, 175N, 1207W,  50,  998, TS,  50, NEQ,   20,   20,   20,   20, 1007,  210,  20,  60,   0,   E,   0,    ,   0,   0,     KARINA, M, 12, NEQ,  120,   60,   60,  100, 
EP, 11, 2014081600,   , BEST,   0, 177N, 1215W,  45, 1000, TS,  34, NEQ,   50,   40,   40,   50, 1008,  160,  30,  55,   0,   E,   0,    ,   0,   0,     KARINA, M, 12, NEQ,  120,   60,   60,  100, 
EP, 11, 2014081606,   , BEST,   0, 180N, 1224W,  40, 1002, TS,  34, NEQ,   60,   40,   40,   50, 1008,  160,  30,  50,   0,   E,   0,    ,   0,   0,     KARINA, M, 12, NEQ,  120,   60,   60,  120, 
EP, 11, 2014081612,   , BEST,   0, 180N, 1236W,  40, 1002, TS,  34, NEQ,   60,   40,   40,   50, 1008,  160,  30,  50,   0,   E,   0,    ,   0,   0,     KARINA, M, 12, NEQ,  100,   50,   60,  110, 
EP, 11, 2014081618,   , BEST,   0, 180N, 1245W,  35, 1003, TS,  34, NEQ,   60,   40,   40,   50, 1008,  160,  50,  45,   0,   E,   0,    ,   0,   0,     KARINA, M, 12, NEQ,  100,   50,   60,  110, 
EP, 11, 2014081700,   , BEST,   0, 179N, 1256W,  35, 1003, TS,  34, NEQ,   60,    0,   30,   50, 1008,  120,  50,  45,   0,   E,   0,    ,   0,   0,     KARINA, M, 12, NEQ,  100,   50,   60,  110, 
EP, 11, 2014081706,   , BEST,   0, 179N, 1265W,  40, 1002, TS,  34, NEQ,   60,    0,   30,   60, 1008,  120,  50,  45,   0,   E,   0,    ,   0,   0,     KARINA, M, 12, NEQ,   90,    0,    0,  120, 
EP, 11, 2014081712,   , BEST,   0, 180N, 1277W,  40, 1002, TS,  34, NEQ,   70,    0,    0,   70, 1008,  120,  50,  50,   0,   E,   0,    ,   0,   0,     KARINA, M, 12, NEQ,   60,    0,    0,  100, 
