EP, 13, 2016082118,   , BEST,   0, 100N,  917W,  20, 1010, DB,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,    ,   0,    ,   0,   0,     INVEST,  , 
EP, 13, 2016082200,   , BEST,   0, 101N,  928W,  20, 1009, DB,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,    ,   0,    ,   0,   0,     INVEST,  , 
EP, 13, 2016082206,   , BEST,   0, 102N,  938W,  20, 1009, DB,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,    ,   0,    ,   0,   0,     INVEST,  , 
EP, 13, 2016082212,   , BEST,   0, 104N,  949W,  20, 1009, DB,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,    ,   0,    ,   0,   0,     INVEST,  , 
EP, 13, 2016082218,   , BEST,   0, 107N,  962W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1011,  175,  70,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 13, 2016082300,   , BEST,   0, 115N,  978W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 1010,  150,  70,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 13, 2016082306,   , BEST,   0, 132N, 1022W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 1010,  150,  70,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 13, 2016082312,   , BEST,   0, 136N, 1034W,  25, 1008, DB,   0,    ,    0,    0,    0,    0, 1010,  150,  70,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 13, 2016082318,   , BEST,   0, 138N, 1046W,  25, 1008, DB,   0,    ,    0,    0,    0,    0, 1011,  150,  70,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 13, 2016082400,   , BEST,   0, 140N, 1058W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1011,  150,  70,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 13, 2016082406,   , BEST,   0, 142N, 1071W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1010,  150,  70,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 13, 2016082412,   , BEST,   0, 147N, 1085W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1010,  150,  70,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 13, 2016082418,   , BEST,   0, 150N, 1094W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  130,  40,   0,   0,   E,   0,    ,   0,   0,   THIRTEEN, S,  0,    ,    0,    0,    0,    0, TRANSITIONED, epB92016 to ep132016, 
EP, 13, 2016082500,   , BEST,   0, 155N, 1104W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1011,  180,  40,  40,   0,   E,   0,    ,   0,   0,   THIRTEEN, M, 
EP, 13, 2016082506,   , BEST,   0, 160N, 1112W,  35, 1005, TS,  34, NEQ,   30,    0,    0,   30, 1011,  180,  30,  45,   0,   E,   0,    ,   0,   0,     LESTER, M, 
EP, 13, 2016082512,   , BEST,   0, 164N, 1121W,  45, 1002, TS,  34, NEQ,   40,   20,   20,   40, 1011,  150,  30,  55,   0,   E,   0,    ,   0,   0,     LESTER, M, 12, NEQ,   30,    0,    0,   30, 
EP, 13, 2016082518,   , BEST,   0, 166N, 1130W,  50, 1000, TS,  34, NEQ,   40,   20,   20,   40, 1012,  150,  20,  60,   0,   E,   0,    ,   0,   0,     LESTER, M, 12, NEQ,   45,   30,    0,   30, 
EP, 13, 2016082518,   , BEST,   0, 166N, 1130W,  50, 1000, TS,  50, NEQ,   20,    0,    0,    0, 1012,  150,  20,  60,   0,   E,   0,    ,   0,   0,     LESTER, M, 12, NEQ,   45,   30,    0,   30, 
EP, 13, 2016082600,   , BEST,   0, 168N, 1136W,  50, 1000, TS,  34, NEQ,   40,   20,   20,   40, 1012,  150,  20,  60,   0,   E,   0,    ,   0,   0,     LESTER, M, 12, NEQ,   45,   30,   30,   45, 
EP, 13, 2016082600,   , BEST,   0, 168N, 1136W,  50, 1000, TS,  50, NEQ,   20,    0,    0,    0, 1012,  150,  20,  60,   0,   E,   0,    ,   0,   0,     LESTER, M, 12, NEQ,   45,   30,   30,   45, 
EP, 13, 2016082606,   , BEST,   0, 170N, 1142W,  50, 1000, TS,  34, NEQ,   70,   70,   20,   60, 1012,  150,  40,  60,   0,   E,   0,    ,   0,   0,     LESTER, M, 12, NEQ,   45,   45,   30,   45, 
EP, 13, 2016082606,   , BEST,   0, 170N, 1142W,  50, 1000, TS,  50, NEQ,   40,    0,    0,    0, 1012,  150,  40,  60,   0,   E,   0,    ,   0,   0,     LESTER, M, 12, NEQ,   45,   45,   30,   45, 
EP, 13, 2016082612,   , BEST,   0, 173N, 1148W,  55,  998, TS,  34, NEQ,   70,   70,   20,   60, 1010,  200,  40,  60,   0,   E,   0,    ,   0,   0,     LESTER, M, 12, NEQ,   60,   60,   45,   60, 
EP, 13, 2016082612,   , BEST,   0, 173N, 1148W,  55,  998, TS,  50, NEQ,   40,    0,    0,    0, 1010,  200,  40,  60,   0,   E,   0,    ,   0,   0,     LESTER, M, 12, NEQ,   60,   60,   45,   60, 
EP, 13, 2016082618,   , BEST,   0, 175N, 1154W,  60,  995, TS,  34, NEQ,   80,   60,   40,   70, 1011,  175,  25,  75,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,   90,   60,   60,   60, 
EP, 13, 2016082618,   , BEST,   0, 175N, 1154W,  60,  995, TS,  50, NEQ,   40,   20,    0,   30, 1011,  175,  25,  75,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,   90,   60,   60,   60, 
EP, 13, 2016082700,   , BEST,   0, 178N, 1161W,  65,  987, HU,  34, NEQ,   80,   60,   40,   70, 1011,  175,  25,  75,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,   90,   60,   60,   90, 
EP, 13, 2016082700,   , BEST,   0, 178N, 1161W,  65,  987, HU,  50, NEQ,   40,   20,    0,   30, 1011,  175,  25,  75,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,   90,   60,   60,   90, 
EP, 13, 2016082700,   , BEST,   0, 178N, 1161W,  65,  987, HU,  64, NEQ,   20,    0,    0,    0, 1011,  175,  25,  75,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,   90,   60,   60,   90, 
