EP, 15, 2012100500,   , BEST,   0, 132N, 1107W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 15, 2012100506,   , BEST,   0, 133N, 1124W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 15, 2012100512,   , BEST,   0, 133N, 1140W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 15, 2012100518,   , BEST,   0, 132N, 1155W,  30, 1008, DB,   0,    ,    0,    0,    0,    0, 1011,  180,  50,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 15, 2012100600,   , BEST,   0, 135N, 1165W,  30, 1008, DB,   0,    ,    0,    0,    0,    0, 1011,  180,  50,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 15, 2012100606,   , BEST,   0, 136N, 1172W,  30, 1008, DB,   0,    ,    0,    0,    0,    0, 1011,  180,  50,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 15, 2012100612,   , BEST,   0, 136N, 1183W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1011,  180,  50,  40,   0,   E,   0,    ,   0,   0,    FIFTEEN, M, 
EP, 15, 2012100618,   , BEST,   0, 137N, 1193W,  35, 1004, TS,  34, NEQ,   40,   30,    0,    0, 1009,  180,  60,  45,   0,   E,   0,    ,   0,   0,     OLIVIA, M, 
EP, 15, 2012100700,   , BEST,   0, 139N, 1201W,  45, 1000, TS,  34, NEQ,   50,   40,   20,   40, 1008,  180,  15,  55,   0,   E,   0,    ,   0,   0,     OLIVIA, M, 12, NEQ,   60,    0,    0,   60
EP, 15, 2012100706,   , BEST,   0, 142N, 1206W,  50,  998, TS,  34, NEQ,   80,   60,   50,   70, 1009,  120,  20,  60,   0,   E,   0,    ,   0,   0,     OLIVIA, M, 12, NEQ,   75,   15,   15,   90
EP, 15, 2012100706,   , BEST,   0, 142N, 1206W,  50,  998, TS,  50, NEQ,   20,    0,    0,    0, 1009,  120,  20,  60,   0,   E,   0,    ,   0,   0,     OLIVIA, M, 12, NEQ,   75,   15,   15,   90
EP, 15, 2012100712,   , BEST,   0, 146N, 1208W,  50,  998, TS,  34, NEQ,   80,   60,   50,   70, 1009,  150,  20,  60,   0,   E,   0,    ,   0,   0,     OLIVIA, M, 
EP, 15, 2012100712,   , BEST,   0, 146N, 1208W,  50,  998, TS,  50, NEQ,   20,    0,    0,    0, 1009,  150,  20,  60,   0,   E,   0,    ,   0,   0,     OLIVIA, M, 
EP, 15, 2012100718,   , BEST,   0, 153N, 1208W,  50,  998, TS,  34, NEQ,   80,   60,   50,   70, 1009,  150,  20,  60,   0,   E,   0,    ,   0,   0,     OLIVIA, M, 12, NEQ,   90,   15,   45,   90
EP, 15, 2012100718,   , BEST,   0, 153N, 1208W,  50,  998, TS,  50, NEQ,   20,    0,    0,    0, 1009,  150,  20,  60,   0,   E,   0,    ,   0,   0,     OLIVIA, M, 12, NEQ,   90,   15,   45,   90
EP, 15, 2012100800,   , BEST,   0, 160N, 1209W,  50,  998, TS,  34, NEQ,   80,   60,   50,   70, 1008,  140,  20,  60,   0,   E,   0,    ,   0,   0,     OLIVIA, M, 12, NEQ,   90,   30,   60,  120
EP, 15, 2012100800,   , BEST,   0, 160N, 1209W,  50,  998, TS,  50, NEQ,   20,    0,    0,    0, 1008,  140,  20,  60,   0,   E,   0,    ,   0,   0,     OLIVIA, M, 12, NEQ,   90,   30,   60,  120
EP, 15, 2012100806,   , BEST,   0, 162N, 1210W,  50,  999, TS,  34, NEQ,   70,   20,   20,   70, 1011,  150,  30,  60,   0,   E,   0,    ,   0,   0,     OLIVIA, M, 12, NEQ,   90,   45,   75,  120
EP, 15, 2012100806,   , BEST,   0, 162N, 1210W,  50,  999, TS,  50, NEQ,   30,    0,    0,   30, 1011,  150,  30,  60,   0,   E,   0,    ,   0,   0,     OLIVIA, M, 12, NEQ,   90,   45,   75,  120
EP, 15, 2012100812,   , BEST,   0, 165N, 1212W,  50,  999, TS,  34, NEQ,   70,   20,   20,   70, 1011,  150,  30,  60,   0,   E,   0,    ,   0,   0,     OLIVIA, M, 12, NEQ,   90,   50,   75,   90
EP, 15, 2012100812,   , BEST,   0, 165N, 1212W,  50,  999, TS,  50, NEQ,   30,    0,    0,   30, 1011,  150,  30,  60,   0,   E,   0,    ,   0,   0,     OLIVIA, M, 12, NEQ,   90,   50,   75,   90
EP, 15, 2012100818,   , BEST,   0, 163N, 1212W,  40, 1004, TS,  34, NEQ,   60,    0,    0,   60, 1011,  150,  30,  50,   0,   E,   0,    ,   0,   0,     OLIVIA, M, 12, NEQ,   90,   45,   90,  120
EP, 15, 2012100900,   , BEST,   0, 159N, 1213W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1011,  150,  30,  40,   0,   E,   0,    ,   0,   0,     OLIVIA, S, 
EP, 15, 2012100906,   , BEST,   0, 153N, 1217W,  30, 1008, LO,  34, NEQ,    0,    0,    0,    0, 1012,  120,  30,  40,   0,   E,   0,    ,   0,   0,     OLIVIA, S, 
