EP, 17, 2015092412,   , BEST,   0,  95N,  960W,  20, 1008, DB,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,    ,   0,    ,   0,   0,     INVEST,  , 
EP, 17, 2015092418,   , BEST,   0,  97N,  968W,  20, 1008, DB,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,    ,   0,    ,   0,   0,     INVEST,  , 
EP, 17, 2015092500,   , BEST,   0,  99N,  975W,  20, 1008, DB,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,    ,   0,    ,   0,   0,     INVEST,  , 
EP, 17, 2015092506,   , BEST,   0, 102N,  983W,  20, 1008, DB,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,    ,   0,    ,   0,   0,     INVEST,  , 
EP, 17, 2015092512,   , BEST,   0, 105N,  994W,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1008,  180,  90,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 17, 2015092518,   , BEST,   0, 109N, 1006W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1008,  180,  90,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 17, 2015092600,   , BEST,   0, 116N, 1017W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1008,  160,  70,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 17, 2015092606,   , BEST,   0, 124N, 1025W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1008,  150,  70,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 17, 2015092612,   , BEST,   0, 127N, 1028W,  25, 1006, LO,   0,    ,    0,    0,    0,    0, 1009,  175,  50,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 17, 2015092618,   , BEST,   0, 131N, 1030W,  30, 1005, TD,   0,    ,    0,    0,    0,    0, 1009,  175,  50,   0,   0,   E,   0,    ,   0,   0,  SEVENTEEN, M,  0,    ,    0,    0,    0,    0, TRANSITIONED, epD32015 to ep172015, 
EP, 17, 2015092700,   , BEST,   0, 136N, 1031W,  40, 1003, TS,  34, NEQ,   60,   70,    0,   20, 1008,  175,  40,  45,   0,   E,   0,    ,   0,   0,  SEVENTEEN, M, 12, NEQ,   30,   30,    0,    0, DISSIPATED, ep172015 to ep932015, TRANSITIONED, epE32015 to ep172015, 
EP, 17, 2015092706,   , BEST,   0, 141N, 1031W,  45, 1000, TS,  34, NEQ,   60,   70,    0,   20, 1008,  150,  30,  55,   0,   E,   0,    ,   0,   0,      MARTY, M, 12, NEQ,   30,   30,    0,    0, 
EP, 17, 2015092712,   , BEST,   0, 146N, 1031W,  50,  997, TS,  34, NEQ,   60,   70,   20,   20, 1008,  150,  20,  60,   0,   E,   0,    ,   0,   0,      MARTY, M, 12, NEQ,   75,   75,    0,   30, 
EP, 17, 2015092712,   , BEST,   0, 146N, 1031W,  50,  997, TS,  50, NEQ,   20,   20,    0,    0, 1008,  150,  20,  60,   0,   E,   0,    ,   0,   0,      MARTY, M, 12, NEQ,   75,   75,    0,   30, 
EP, 17, 2015092718,   , BEST,   0, 150N, 1031W,  50,  997, TS,  34, NEQ,   80,   70,   20,   70, 1008,  150,  20,  60,   0,   E,   0,    ,   0,   0,      MARTY, M, 12, NEQ,   80,  100,   20,   60, 
EP, 17, 2015092718,   , BEST,   0, 150N, 1031W,  50,  997, TS,  50, NEQ,   20,   20,    0,   20, 1008,  150,  20,  60,   0,   E,   0,    ,   0,   0,      MARTY, M, 12, NEQ,   80,  100,   20,   60, 
EP, 17, 2015092800,   , BEST,   0, 153N, 1032W,  55,  994, TS,  34, NEQ,   80,   70,   20,   70, 1008,  150,  20,  65,   0,   E,   0,    ,   0,   0,      MARTY, D, 12, NEQ,   90,  120,   30,   70, 
EP, 17, 2015092800,   , BEST,   0, 153N, 1032W,  55,  994, TS,  50, NEQ,   30,   20,    0,   20, 1008,  150,  20,  65,   0,   E,   0,    ,   0,   0,      MARTY, D, 12, NEQ,   90,  120,   30,   70, 
EP, 17, 2015092806,   , BEST,   0, 158N, 1031W,  60,  990, TS,  34, NEQ,   80,   70,   20,   70, 1008,  175,  20,  75,   0,   E,   0,    ,   0,   0,      MARTY, D, 12, NEQ,  120,  120,   45,  120, 
EP, 17, 2015092806,   , BEST,   0, 158N, 1031W,  60,  990, TS,  50, NEQ,   30,   20,    0,   20, 1008,  175,  20,  75,   0,   E,   0,    ,   0,   0,      MARTY, D, 12, NEQ,  120,  120,   45,  120, 
EP, 17, 2015092812,   , BEST,   0, 162N, 1028W,  60,  990, TS,  34, NEQ,   90,   70,   20,   70, 1008,  150,  20,  75,   0,   E,   0,    ,   0,   0,      MARTY, D, 12, NEQ,  150,  150,   45,  150, 
EP, 17, 2015092812,   , BEST,   0, 162N, 1028W,  60,  990, TS,  50, NEQ,   40,   20,    0,   20, 1008,  150,  20,  75,   0,   E,   0,    ,   0,   0,      MARTY, D, 12, NEQ,  150,  150,   45,  150, 
