SH, 07, 2014010400,   , BEST,   0, 150S, 1764W,  15, 1010, DB,   0,    ,    0,    0,    0,    0, 
SH, 07, 2014010406,   , BEST,   0, 158S, 1763W,  15, 1010, DB,   0,    ,    0,    0,    0,    0, 
SH, 07, 2014010412,   , BEST,   0, 166S, 1762W,  15, 1010, DB,   0,    ,    0,    0,    0,    0, 
SH, 07, 2014010418,   , BEST,   0, 175S, 1761W,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 
SH, 07, 2014010500,   , BEST,   0, 180S, 1760W,  25, 1004, DB,   0,    ,    0,    0,    0,    0, 1006,  150,  40,   0,   0,   P,   0,    ,   0,   0,     INVEST, S, 
SH, 07, 2014010506,   , BEST,   0, 184S, 1759W,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1005,  170,  40,   0,   0,   P,   0,    ,   0,   0,     INVEST, S, 
SH, 07, 2014010512,   , BEST,   0, 187S, 1757W,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1005,  160,  40,   0,   0,   P,   0,    ,   0,   0,     INVEST, S, 
SH, 07, 2014010518,   , BEST,   0, 189S, 1755W,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1005,  160,  35,   0,   0,   P,   0,    ,   0,   0,      SEVEN, M, 
SH, 07, 2014010600,   , BEST,   0, 190S, 1754W,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1005,  160,  35,   0,   0,   P,   0,    ,   0,   0,      SEVEN, M, 
SH, 07, 2014010606,   , BEST,   0, 190S, 1755W,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1004,  170,  35,   0,   0,   P,   0,    ,   0,   0,        IAN, M, 
SH, 07, 2014010612,   , BEST,   0, 191S, 1757W,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1004,  160,  35,   0,   0,   P,   0,    ,   0,   0,        IAN, M, 
SH, 07, 2014010618,   , BEST,   0, 187S, 1759W,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1003,  170,  35,   0,   0,   P,   0,    ,   0,   0,        IAN, M, 
SH, 07, 2014010700,   , BEST,   0, 183S, 1760W,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1003,  185,  35,   0,   0,   P,   0,    ,   0,   0,        IAN, M, 
SH, 07, 2014010706,   , BEST,   0, 176S, 1761W,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1003,  185,  35,   0,   0,   P,   0,    ,   0,   0,        IAN, M, 
SH, 07, 2014010712,   , BEST,   0, 172S, 1765W,  40,  993, TS,  34, NEQ,   45,   45,   45,   45, 1003,  185,  35,   0,   0,   P,   0,    ,   0,   0,        IAN, M, 
SH, 07, 2014010718,   , BEST,   0, 170S, 1767W,  45,  989, TS,  34, NEQ,   50,   50,   50,   50, 1003,  185,  35,   0,   0,   P,   0,    ,   0,   0,        IAN, M, 
SH, 07, 2014010800,   , BEST,   0, 169S, 1769W,  50,  985, TS,  34, NEQ,   50,   50,   50,   50, 1003,  185,  35,   0,   0,   P,   0,    ,   0,   0,        IAN, M, 
SH, 07, 2014010806,   , BEST,   0, 168S, 1770W,  55,  982, TS,  34, NEQ,   50,   70,   80,   70, 1003,  185,  15,   0,   0,   P,   0,    ,   0,   0,        IAN, M, 
SH, 07, 2014010806,   , BEST,   0, 168S, 1770W,  55,  982, TS,  50, NEQ,   15,   15,   15,   15, 1003,  185,  15,   0,   0,   P,   0,    ,   0,   0,        IAN, M, 
SH, 07, 2014010812,   , BEST,   0, 167S, 1769W,  55,  982, TS,  34, NEQ,   50,   70,   80,   70, 1003,  185,  15,   0,   0,   P,   0,    ,   0,   0,        IAN, M, 
SH, 07, 2014010812,   , BEST,   0, 167S, 1769W,  55,  982, TS,  50, NEQ,   15,   15,   15,   15, 1003,  185,  15,   0,   0,   P,   0,    ,   0,   0,        IAN, M, 
SH, 07, 2014010818,   , BEST,   0, 167S, 1768W,  60,  978, TS,  34, NEQ,   50,   70,   80,   70, 1003,  190,  15,   0,   0,   P,   0,    ,   0,   0,        IAN, D, 
SH, 07, 2014010818,   , BEST,   0, 167S, 1768W,  60,  978, TS,  50, NEQ,   15,   15,   15,   15, 1003,  190,  15,   0,   0,   P,   0,    ,   0,   0,        IAN, D, 
SH, 07, 2014010900,   , BEST,   0, 167S, 1767W,  85,  959, TY,  34, NEQ,   70,   70,   80,   70, 1003,  190,  12,   0,  15,   P,   0,    ,   0,   0,        IAN, D, 
SH, 07, 2014010900,   , BEST,   0, 167S, 1767W,  85,  959, TY,  50, NEQ,   30,   30,   30,   30, 1003,  190,  12,   0,  15,   P,   0,    ,   0,   0,        IAN, D, 
SH, 07, 2014010900,   , BEST,   0, 167S, 1767W,  85,  959, TY,  64, NEQ,   15,   15,   15,   15, 1003,  190,  12,   0,  15,   P,   0,    ,   0,   0,        IAN, D, 
SH, 07, 2014010906,   , BEST,   0, 168S, 1765W,  85,  959, TY,  34, NEQ,   70,   70,   80,   70, 1003,  190,  12,   0,  15,   P,   0,    ,   0,   0,        IAN, D, 
SH, 07, 2014010906,   , BEST,   0, 168S, 1765W,  85,  959, TY,  50, NEQ,   30,   30,   30,   30, 1003,  190,  12,   0,  15,   P,   0,    ,   0,   0,        IAN, D, 
SH, 07, 2014010906,   , BEST,   0, 168S, 1765W,  85,  959, TY,  64, NEQ,   15,   15,   15,   15, 1003,  190,  12,   0,  15,   P,   0,    ,   0,   0,        IAN, D, 
SH, 07, 2014010912,   , BEST,   0, 169S, 1762W,  85,  959, TY,  34, NEQ,   70,   70,   80,   70, 1003,  190,  12,   0,   0,   P,   0,    ,   0,   0,        IAN, D, 
SH, 07, 2014010912,   , BEST,   0, 169S, 1762W,  85,  959, TY,  50, NEQ,   30,   30,   30,   30, 1003,  190,  12,   0,   0,   P,   0,    ,   0,   0,        IAN, D, 
SH, 07, 2014010912,   , BEST,   0, 169S, 1762W,  85,  959, TY,  64, NEQ,   15,   15,   15,   15, 1003,  190,  12,   0,   0,   P,   0,    ,   0,   0,        IAN, D, 
SH, 07, 2014010918,   , BEST,   0, 171S, 1758W,  90,  956, TY,  34, NEQ,   70,   70,   80,   70, 1003,  190,  12,   0,   0,   P,   0,    ,   0,   0,        IAN, D, 
SH, 07, 2014010918,   , BEST,   0, 171S, 1758W,  90,  956, TY,  50, NEQ,   30,   30,   30,   30, 1003,  190,  12,   0,   0,   P,   0,    ,   0,   0,        IAN, D, 
SH, 07, 2014010918,   , BEST,   0, 171S, 1758W,  90,  956, TY,  64, NEQ,   15,   15,   15,   15, 1003,  190,  12,   0,   0,   P,   0,    ,   0,   0,        IAN, D, 
SH, 07, 2014011000,   , BEST,   0, 175S, 1755W,  90,  956, TY,  34, NEQ,   70,   70,   80,   70, 1003,  190,   7,   0,   5,   P,   0,    ,   0,   0,        IAN, D, 
SH, 07, 2014011000,   , BEST,   0, 175S, 1755W,  90,  956, TY,  50, NEQ,   30,   30,   30,   30, 1003,  190,   7,   0,   5,   P,   0,    ,   0,   0,        IAN, D, 
SH, 07, 2014011000,   , BEST,   0, 175S, 1755W,  90,  956, TY,  64, NEQ,   15,   15,   15,   15, 1003,  190,   7,   0,   5,   P,   0,    ,   0,   0,        IAN, D, 
SH, 07, 2014011006,   , BEST,   0, 179S, 1752W,  95,  952, TY,  34, NEQ,   70,   70,   80,   70, 1003,  190,  10,   0,  10,   P,   0,    ,   0,   0,        IAN, D, 
SH, 07, 2014011006,   , BEST,   0, 179S, 1752W,  95,  952, TY,  50, NEQ,   30,   30,   30,   30, 1003,  190,  10,   0,  10,   P,   0,    ,   0,   0,        IAN, D, 
